CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115037,HUANCANE,1990,1,121.9,13.83,4.6
115037,HUANCANE,1990,2,55.6,14.78,3.32
115037,HUANCANE,1990,3,49.4,14.68,2.72
115037,HUANCANE,1990,4,21.2,15.12,1.08
115037,HUANCANE,1990,5,12.8,15.13,-0.71
115037,HUANCANE,1990,6,44.9,12.22,-1.48
115037,HUANCANE,1990,7,0.0,13.22,-4.46
115037,HUANCANE,1990,8,35.9,13.69,-1.84
115037,HUANCANE,1990,9,25.6,15.26,0.47
115037,HUANCANE,1990,10,52.1,14.98,3.84
115037,HUANCANE,1990,11,98.1,14.68,4.42
115037,HUANCANE,1990,12,98.6,14.4,3.94
115037,HUANCANE,1991,1,123.4,14.86,4.43
115037,HUANCANE,1991,2,135.2,15.18,4.01
115037,HUANCANE,1991,3,138.0,14.68,4.62
115037,HUANCANE,1991,4,9.0,14.52,1.99
115037,HUANCANE,1991,5,20.1,14.22,-2.07
115037,HUANCANE,1991,6,51.1,13.19,-4.21
115037,HUANCANE,1991,7,1.0,13.8,-5.21
115037,HUANCANE,1991,8,0.7,15.24,-3.97
115037,HUANCANE,1991,9,36.4,14.47,0.43
115037,HUANCANE,1991,10,14.1,16.03,1.38
115037,HUANCANE,1991,11,46.1,15.59,2.67
115037,HUANCANE,1991,12,148.2,15.46,2.9
115037,HUANCANE,1992,1,132.0,13.54,4.04
115037,HUANCANE,1992,2,75.4,14.64,4.05
115037,HUANCANE,1992,3,46.9,15.63,2.54
115037,HUANCANE,1992,4,6.4,17.01,0.11
115037,HUANCANE,1992,5,0.0,16.26,-3.3
115037,HUANCANE,1992,6,9.7,14.54,-2.79
115037,HUANCANE,1992,7,0.2,14.04,-4.83
115037,HUANCANE,1992,8,72.1,12.94,-2.57
115037,HUANCANE,1992,9,13.7,15.76,-0.78
115037,HUANCANE,1992,10,66.6,15.23,1.94
115037,HUANCANE,1992,11,45.0,15.64,2.27
115037,HUANCANE,1992,12,140.0,14.99,3.36
115037,HUANCANE,1993,1,127.3,13.37,3.8
115037,HUANCANE,1993,2,47.9,14.78,3.01
115037,HUANCANE,1993,3,111.2,13.46,3.54
115037,HUANCANE,1993,4,58.1,14.52,2.72
115037,HUANCANE,1993,5,11.5,14.85,-1.78
115037,HUANCANE,1993,6,2.1,13.75,-5.31
115037,HUANCANE,1993,7,0.0,14.62,-4.08
