CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115038,HUARAYA MOHO,1990,1,166.6,13.82,-999.0
115038,HUARAYA MOHO,1990,2,74.5,14.77,3.68
115038,HUARAYA MOHO,1990,3,58.8,15.03,3.15
115038,HUARAYA MOHO,1990,4,63.8,14.47,2.69
115038,HUARAYA MOHO,1990,5,9.0,15.21,0.95
115038,HUARAYA MOHO,1990,6,72.5,11.59,-0.0
115038,HUARAYA MOHO,1990,7,0.0,13.1,-2.29
115038,HUARAYA MOHO,1990,8,22.7,13.95,-0.12
115038,HUARAYA MOHO,1990,9,25.7,15.47,1.21
115038,HUARAYA MOHO,1990,10,110.1,14.6,4.1
115038,HUARAYA MOHO,1990,11,125.9,14.47,4.75
115038,HUARAYA MOHO,1990,12,102.3,14.5,4.41
115038,HUARAYA MOHO,1991,1,117.5,14.74,4.84
115038,HUARAYA MOHO,1991,2,182.1,14.62,3.83
115038,HUARAYA MOHO,1991,3,184.5,14.13,4.66
115038,HUARAYA MOHO,1991,4,39.4,14.19,2.72
115038,HUARAYA MOHO,1991,5,31.7,13.46,0.7
115038,HUARAYA MOHO,1991,6,51.5,12.81,-1.75
115038,HUARAYA MOHO,1991,7,0.0,13.24,-2.07
115038,HUARAYA MOHO,1991,8,7.6,14.19,-1.6
115038,HUARAYA MOHO,1991,9,32.0,14.28,1.16
115038,HUARAYA MOHO,1991,10,15.8,15.61,2.55
115038,HUARAYA MOHO,1991,11,63.0,15.35,3.17
115038,HUARAYA MOHO,1991,12,124.6,15.24,3.86
115038,HUARAYA MOHO,1992,1,156.6,13.61,4.51
115038,HUARAYA MOHO,1992,2,100.7,14.44,4.44
115038,HUARAYA MOHO,1992,3,39.7,15.15,3.4
115038,HUARAYA MOHO,1992,4,21.7,16.13,1.95
115038,HUARAYA MOHO,1992,5,0.0,15.41,0.23
115038,HUARAYA MOHO,1992,6,25.2,13.41,-0.35
115038,HUARAYA MOHO,1992,7,1.5,12.69,-2.05
115038,HUARAYA MOHO,1992,8,101.6,12.54,-0.43
115038,HUARAYA MOHO,1992,9,4.6,15.07,1.43
115038,HUARAYA MOHO,1992,10,84.0,14.74,2.63
115038,HUARAYA MOHO,1992,11,38.8,15.57,3.35
115038,HUARAYA MOHO,1992,12,145.7,14.31,4.12
115038,HUARAYA MOHO,1993,1,310.3,13.19,4.3
115038,HUARAYA MOHO,1993,2,49.1,14.62,3.89
115038,HUARAYA MOHO,1993,3,65.0,13.36,3.92
115038,HUARAYA MOHO,1993,4,83.6,13.63,3.47
115038,HUARAYA MOHO,1993,5,17.7,13.76,1.02
115038,HUARAYA MOHO,1993,6,18.7,12.27,-1.7
115038,HUARAYA MOHO,1993,7,1.4,13.79,-0.9
115038,HUARAYA MOHO,1993,8,10.4,12.88,-0.6
115038,HUARAYA MOHO,1993,9,30.6,14.92,1.87
115038,HUARAYA MOHO,1993,10,53.3,15.14,3.54
115038,HUARAYA MOHO,1993,11,106.4,14.91,4.68
115038,HUARAYA MOHO,1993,12,124.2,14.56,5.15
115038,HUARAYA MOHO,1994,1,192.5,13.97,4.65
115038,HUARAYA MOHO,1994,2,102.5,13.58,4.95
115038,HUARAYA MOHO,1994,3,124.4,13.65,3.49
115038,HUARAYA MOHO,1994,4,116.1,13.66,3.89
115038,HUARAYA MOHO,1994,5,21.7,13.38,0.75
115038,HUARAYA MOHO,1994,6,2.8,12.81,-1.85
115038,HUARAYA MOHO,1994,7,0.0,13.37,-1.87
115038,HUARAYA MOHO,1994,8,2.0,14.15,-1.24
115038,HUARAYA MOHO,1994,9,7.4,14.91,1.58
115038,HUARAYA MOHO,1994,10,38.3,15.8,2.97
115038,HUARAYA MOHO,1994,11,74.0,15.72,4.35
115038,HUARAYA MOHO,1994,12,157.3,14.75,4.9
115038,HUARAYA MOHO,1995,1,133.7,14.8,5.37
115038,HUARAYA MOHO,1995,2,142.7,14.81,4.52
115038,HUARAYA MOHO,1995,3,110.9,13.63,4.86
115038,HUARAYA MOHO,1995,4,7.3,14.58,2.65
115038,HUARAYA MOHO,1995,5,10.0,14.19,-0.21
115038,HUARAYA MOHO,1995,6,0.0,12.91,-2.01
115038,HUARAYA MOHO,1995,7,0.0,14.38,-1.07
115038,HUARAYA MOHO,1995,8,1.7,16.03,-0.4
115038,HUARAYA MOHO,1995,9,38.2,15.49,1.95
