CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115047,TARACO,1990,1,166.4,-999.0,-999.0
115047,TARACO,1990,2,79.8,-999.0,-999.0
115047,TARACO,1990,3,24.8,-999.0,-999.0
115047,TARACO,1990,4,35.6,-999.0,-999.0
115047,TARACO,1990,5,4.5,-999.0,-999.0
115047,TARACO,1990,6,42.5,-999.0,-999.0
115047,TARACO,1990,7,0.0,-999.0,-999.0
115047,TARACO,1990,8,9.7,-999.0,-999.0
115047,TARACO,1990,9,10.6,-999.0,-999.0
115047,TARACO,1990,10,67.7,-999.0,-999.0
115047,TARACO,1990,11,83.7,-999.0,-999.0
115047,TARACO,1990,12,192.1,-999.0,-999.0
115047,TARACO,1991,1,168.7,-999.0,-999.0
115047,TARACO,1991,2,102.6,-999.0,-999.0
115047,TARACO,1991,3,126.9,-999.0,-999.0
115047,TARACO,1991,4,26.2,-999.0,-999.0
115047,TARACO,1991,5,23.5,-999.0,-999.0
115047,TARACO,1991,6,55.0,-999.0,-999.0
115047,TARACO,1991,7,3.5,-999.0,-999.0
115047,TARACO,1991,8,0.0,-999.0,-999.0
115047,TARACO,1991,9,10.5,-999.0,-999.0
115047,TARACO,1991,10,28.9,-999.0,-999.0
115047,TARACO,1991,11,32.8,-999.0,-999.0
115047,TARACO,1991,12,63.7,-999.0,-999.0
115047,TARACO,1992,1,137.7,-999.0,-999.0
115047,TARACO,1992,2,116.4,-999.0,-999.0
115047,TARACO,1992,3,26.6,-999.0,-999.0
115047,TARACO,1992,4,9.3,-999.0,-999.0
115047,TARACO,1992,5,0.0,-999.0,-999.0
115047,TARACO,1992,6,0.0,-999.0,-999.0
115047,TARACO,1992,7,6.2,-999.0,-999.0
115047,TARACO,1992,8,58.1,-999.0,-999.0
115047,TARACO,1992,9,3.8,-999.0,-999.0
115047,TARACO,1992,10,59.7,-999.0,-999.0
115047,TARACO,1992,11,45.5,-999.0,-999.0
115047,TARACO,1992,12,79.0,-999.0,-999.0
115047,TARACO,1993,1,149.5,-999.0,-999.0
