CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115049,ISLA TAQUILE,1990,1,336.1,-999.0,-999.0
115049,ISLA TAQUILE,1990,2,87.6,-999.0,-999.0
115049,ISLA TAQUILE,1990,3,36.0,-999.0,-999.0
115049,ISLA TAQUILE,1990,4,24.4,-999.0,-999.0
115049,ISLA TAQUILE,1990,5,53.3,-999.0,-999.0
115049,ISLA TAQUILE,1990,6,113.5,-999.0,-999.0
115049,ISLA TAQUILE,1990,7,2.5,-999.0,-999.0
115049,ISLA TAQUILE,1990,8,37.5,-999.0,-999.0
115049,ISLA TAQUILE,1990,9,27.9,-999.0,-999.0
115049,ISLA TAQUILE,1990,10,-999.0,-999.0,-999.0
115049,ISLA TAQUILE,1990,11,105.8,-999.0,8.07
115049,ISLA TAQUILE,1990,12,211.9,-999.0,7.4
115049,ISLA TAQUILE,1991,1,254.1,-999.0,7.27
115049,ISLA TAQUILE,1991,2,300.2,-999.0,6.94
115049,ISLA TAQUILE,1991,3,232.6,-999.0,6.33
115049,ISLA TAQUILE,1991,4,79.1,-999.0,7.21
115049,ISLA TAQUILE,1991,5,19.5,-999.0,6.26
115049,ISLA TAQUILE,1991,6,55.8,-999.0,-999.0
115049,ISLA TAQUILE,1991,7,0.4,-999.0,-999.0
115049,ISLA TAQUILE,1991,8,3.0,-999.0,-999.0
115049,ISLA TAQUILE,1991,9,-999.0,-999.0,-999.0
115049,ISLA TAQUILE,1991,10,56.9,-999.0,5.67
115049,ISLA TAQUILE,1991,11,30.8,-999.0,5.4
115049,ISLA TAQUILE,1991,12,63.2,-999.0,6.09
115049,ISLA TAQUILE,1992,1,228.9,-999.0,4.96
115049,ISLA TAQUILE,1992,2,121.5,-999.0,6.04
115049,ISLA TAQUILE,1992,3,29.9,-999.0,7.08
115049,ISLA TAQUILE,1992,4,12.9,-999.0,6.7
115049,ISLA TAQUILE,1992,5,0.0,-999.0,6.53
115049,ISLA TAQUILE,1992,6,9.8,-999.0,5.41
115049,ISLA TAQUILE,1992,7,17.1,-999.0,-999.0
115049,ISLA TAQUILE,1992,8,43.5,-999.0,3.78
115049,ISLA TAQUILE,1992,9,4.5,-999.0,4.28
115049,ISLA TAQUILE,1992,10,32.6,-999.0,5.46
115049,ISLA TAQUILE,1992,11,53.7,-999.0,5.04
115049,ISLA TAQUILE,1992,12,100.3,-999.0,6.35
115049,ISLA TAQUILE,1993,1,239.6,-999.0,5.06
115049,ISLA TAQUILE,1993,2,150.5,-999.0,6.24
115049,ISLA TAQUILE,1993,3,313.8,-999.0,5.25
115049,ISLA TAQUILE,1993,4,39.5,-999.0,6.56
115049,ISLA TAQUILE,1993,5,9.6,-999.0,-999.0
115049,ISLA TAQUILE,1993,6,11.4,-999.0,3.08
115049,ISLA TAQUILE,1993,7,0.0,-999.0,3.08
115049,ISLA TAQUILE,1993,8,46.1,-999.0,2.4
115049,ISLA TAQUILE,1993,9,35.0,-999.0,3.76
115049,ISLA TAQUILE,1993,10,55.4,-999.0,5.08
115049,ISLA TAQUILE,1993,11,99.4,-999.0,5.59
115049,ISLA TAQUILE,1993,12,174.9,-999.0,5.76
115049,ISLA TAQUILE,1994,1,208.3,-999.0,5.67
115049,ISLA TAQUILE,1994,2,273.1,-999.0,5.61
115049,ISLA TAQUILE,1994,3,286.6,-999.0,5.45
115049,ISLA TAQUILE,1994,4,117.8,-999.0,5.42
115049,ISLA TAQUILE,1994,5,2.0,-999.0,4.48
115049,ISLA TAQUILE,1994,6,0.7,-999.0,3.38
115049,ISLA TAQUILE,1994,7,26.5,-999.0,3.54
115049,ISLA TAQUILE,1994,8,0.0,-999.0,3.84
115049,ISLA TAQUILE,1994,9,17.7,-999.0,4.35
115049,ISLA TAQUILE,1994,10,26.8,-999.0,4.68
115049,ISLA TAQUILE,1994,11,65.0,-999.0,5.8
115049,ISLA TAQUILE,1994,12,129.6,-999.0,5.45
115049,ISLA TAQUILE,1995,1,112.9,-999.0,6.07
115049,ISLA TAQUILE,1995,2,171.7,-999.0,6.0
115049,ISLA TAQUILE,1995,3,291.5,-999.0,5.12
115049,ISLA TAQUILE,1995,4,29.9,-999.0,5.72
115049,ISLA TAQUILE,1995,5,2.9,-999.0,4.32
115049,ISLA TAQUILE,1995,6,0.2,-999.0,3.73
115049,ISLA TAQUILE,1995,7,5.0,-999.0,4.03
115049,ISLA TAQUILE,1995,8,11.0,-999.0,-999.0
115049,ISLA TAQUILE,1995,9,40.9,-999.0,5.31
115049,ISLA TAQUILE,1995,10,11.0,-999.0,5.24
115049,ISLA TAQUILE,1995,11,109.9,-999.0,-999.0
115049,ISLA TAQUILE,1995,12,201.2,-999.0,-999.0
