CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115052,RINCON DE LA CRUZ,1990,1,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,2,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,3,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,4,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,5,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,6,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,7,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,8,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,9,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,10,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,11,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1990,12,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,1,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,2,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,3,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,4,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,5,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,6,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1991,7,7.7,13.61,-0.66
115052,RINCON DE LA CRUZ,1991,8,7.4,13.79,0.9
115052,RINCON DE LA CRUZ,1991,9,13.7,13.59,1.25
115052,RINCON DE LA CRUZ,1991,10,41.7,14.88,3.15
115052,RINCON DE LA CRUZ,1991,11,49.2,14.54,2.59
115052,RINCON DE LA CRUZ,1991,12,60.2,15.0,3.07
115052,RINCON DE LA CRUZ,1992,1,122.9,14.35,3.08
115052,RINCON DE LA CRUZ,1992,2,82.4,16.17,2.67
115052,RINCON DE LA CRUZ,1992,3,63.8,16.54,3.76
115052,RINCON DE LA CRUZ,1992,4,45.0,16.46,2.02
115052,RINCON DE LA CRUZ,1992,5,0.0,15.63,-0.47
115052,RINCON DE LA CRUZ,1992,6,3.0,13.97,-0.75
115052,RINCON DE LA CRUZ,1992,7,3.2,14.05,-1.69
115052,RINCON DE LA CRUZ,1992,8,36.2,13.22,-1.13
115052,RINCON DE LA CRUZ,1992,9,3.9,14.54,1.2
115052,RINCON DE LA CRUZ,1992,10,23.2,14.56,0.96
115052,RINCON DE LA CRUZ,1992,11,58.4,14.54,1.28
115052,RINCON DE LA CRUZ,1992,12,45.5,14.93,2.1
115052,RINCON DE LA CRUZ,1993,1,178.9,13.58,1.89
115052,RINCON DE LA CRUZ,1993,2,29.7,14.51,2.59
115052,RINCON DE LA CRUZ,1993,3,109.1,14.1,3.36
115052,RINCON DE LA CRUZ,1993,4,37.4,16.25,0.97
115052,RINCON DE LA CRUZ,1993,5,6.5,16.5,-1.0
115052,RINCON DE LA CRUZ,1993,6,0.5,15.56,-5.92
115052,RINCON DE LA CRUZ,1993,7,0.0,15.57,-4.19
115052,RINCON DE LA CRUZ,1993,8,37.9,15.4,-2.94
115052,RINCON DE LA CRUZ,1993,9,27.5,17.32,0.78
115052,RINCON DE LA CRUZ,1993,10,51.1,16.32,3.81
115052,RINCON DE LA CRUZ,1993,11,82.4,16.69,4.21
115052,RINCON DE LA CRUZ,1993,12,70.9,17.26,4.73
115052,RINCON DE LA CRUZ,1994,1,117.4,15.32,3.69
115052,RINCON DE LA CRUZ,1994,2,103.2,15.11,3.6
115052,RINCON DE LA CRUZ,1994,3,80.7,13.82,3.81
115052,RINCON DE LA CRUZ,1994,4,84.4,15.14,3.29
115052,RINCON DE LA CRUZ,1994,5,17.8,12.98,1.57
115052,RINCON DE LA CRUZ,1994,6,0.5,12.03,-0.92
115052,RINCON DE LA CRUZ,1994,7,0.0,12.37,-0.93
115052,RINCON DE LA CRUZ,1994,8,0.5,14.06,-0.23
115052,RINCON DE LA CRUZ,1994,9,1.6,-999.0,2.28
115052,RINCON DE LA CRUZ,1994,10,30.8,14.24,3.1
115052,RINCON DE LA CRUZ,1994,11,62.1,13.39,3.84
115052,RINCON DE LA CRUZ,1994,12,192.4,14.83,4.13
115052,RINCON DE LA CRUZ,1995,1,112.0,13.51,4.41
115052,RINCON DE LA CRUZ,1995,2,113.9,14.67,-999.0
115052,RINCON DE LA CRUZ,1995,3,170.9,13.55,4.48
115052,RINCON DE LA CRUZ,1995,4,5.2,14.87,3.29
115052,RINCON DE LA CRUZ,1995,5,6.3,14.83,1.42
115052,RINCON DE LA CRUZ,1995,6,0.0,12.71,-1.78
115052,RINCON DE LA CRUZ,1995,7,1.8,13.36,-1.02
115052,RINCON DE LA CRUZ,1995,8,6.8,15.15,0.02
115052,RINCON DE LA CRUZ,1995,9,13.7,15.06,2.32
115052,RINCON DE LA CRUZ,1995,10,12.3,16.57,3.01
115052,RINCON DE LA CRUZ,1995,11,70.9,15.75,3.57
115052,RINCON DE LA CRUZ,1995,12,136.9,14.04,3.29
115052,RINCON DE LA CRUZ,1996,1,202.4,14.3,3.55
115052,RINCON DE LA CRUZ,1996,2,185.9,13.71,4.23
115052,RINCON DE LA CRUZ,1996,3,95.7,15.15,3.62
115052,RINCON DE LA CRUZ,1996,4,45.9,14.99,3.58
115052,RINCON DE LA CRUZ,1996,5,0.5,14.54,1.17
115052,RINCON DE LA CRUZ,1996,6,0.0,13.56,-1.19
115052,RINCON DE LA CRUZ,1996,7,20.8,13.17,-1.45
115052,RINCON DE LA CRUZ,1996,8,7.1,13.89,0.7
115052,RINCON DE LA CRUZ,1996,9,12.5,15.01,1.49
115052,RINCON DE LA CRUZ,1996,10,6.8,16.32,2.84
115052,RINCON DE LA CRUZ,1996,11,92.8,14.62,3.31
115052,RINCON DE LA CRUZ,1996,12,100.1,15.1,4.11
115052,RINCON DE LA CRUZ,1997,1,227.9,13.3,4.46
115052,RINCON DE LA CRUZ,1997,2,158.4,13.02,4.1
115052,RINCON DE LA CRUZ,1997,3,105.2,13.17,3.56
115052,RINCON DE LA CRUZ,1997,4,55.8,13.26,1.74
115052,RINCON DE LA CRUZ,1997,5,6.7,13.61,-0.16
115052,RINCON DE LA CRUZ,1997,6,0.0,13.14,-2.02
115052,RINCON DE LA CRUZ,1997,7,0.0,13.86,-1.06
115052,RINCON DE LA CRUZ,1997,8,40.3,13.07,-0.43
115052,RINCON DE LA CRUZ,1997,9,87.1,15.01,1.93
115052,RINCON DE LA CRUZ,1997,10,47.4,16.14,2.33
115052,RINCON DE LA CRUZ,1997,11,91.2,15.73,3.9
115052,RINCON DE LA CRUZ,1997,12,53.1,17.52,5.14
115052,RINCON DE LA CRUZ,1998,1,103.3,17.17,6.0
115052,RINCON DE LA CRUZ,1998,2,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,3,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,4,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,5,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,6,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,7,-999.0,-999.0,-999.0
115052,RINCON DE LA CRUZ,1998,8,-999.0,-999.0,-999.0
