CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115053,COJATA,1990,1,130.4,-999.0,-999.0
115053,COJATA,1990,2,40.6,-999.0,-999.0
115053,COJATA,1990,3,66.7,-999.0,-999.0
115053,COJATA,1990,4,52.2,-999.0,-999.0
115053,COJATA,1990,5,5.5,-999.0,-999.0
115053,COJATA,1990,6,63.2,-999.0,-999.0
115053,COJATA,1990,7,0.0,-999.0,-999.0
115053,COJATA,1990,8,13.1,-999.0,-999.0
115053,COJATA,1990,9,16.9,-999.0,-999.0
115053,COJATA,1990,10,74.3,-999.0,-999.0
115053,COJATA,1990,11,95.5,-999.0,-999.0
115053,COJATA,1990,12,73.6,-999.0,-999.0
115053,COJATA,1991,1,120.2,-999.0,-999.0
115053,COJATA,1991,2,96.8,-999.0,-999.0
115053,COJATA,1991,3,108.1,-999.0,-999.0
115053,COJATA,1991,4,36.6,-999.0,-999.0
115053,COJATA,1991,5,19.6,-999.0,-999.0
115053,COJATA,1991,6,40.3,-999.0,-999.0
115053,COJATA,1991,7,0.0,-999.0,-999.0
115053,COJATA,1991,8,0.0,-999.0,-999.0
115053,COJATA,1991,9,18.5,-999.0,-999.0
115053,COJATA,1991,10,31.3,-999.0,-999.0
115053,COJATA,1991,11,53.5,-999.0,-999.0
115053,COJATA,1991,12,76.8,-999.0,-999.0
115053,COJATA,1992,1,171.7,-999.0,-999.0
115053,COJATA,1992,2,78.5,-999.0,-999.0
115053,COJATA,1992,3,60.5,-999.0,-999.0
115053,COJATA,1992,4,7.0,-999.0,-999.0
115053,COJATA,1992,5,0.0,-999.0,-999.0
115053,COJATA,1992,6,15.1,-999.0,-999.0
115053,COJATA,1992,7,0.0,-999.0,-999.0
115053,COJATA,1992,8,64.6,-999.0,-999.0
115053,COJATA,1992,9,27.6,-999.0,-999.0
115053,COJATA,1992,10,29.1,-999.0,-999.0
115053,COJATA,1992,11,73.1,-999.0,-999.0
115053,COJATA,1992,12,165.3,-999.0,-999.0
115053,COJATA,1993,1,172.8,-999.0,-999.0
115053,COJATA,1993,2,64.2,-999.0,-999.0
115053,COJATA,1993,3,64.3,-999.0,-999.0
115053,COJATA,1993,4,71.4,-999.0,-999.0
115053,COJATA,1993,5,20.5,-999.0,-999.0
115053,COJATA,1993,6,6.5,-999.0,-999.0
115053,COJATA,1993,7,5.9,-999.0,-999.0
115053,COJATA,1993,8,22.0,-999.0,-999.0
115053,COJATA,1993,9,27.2,-999.0,-999.0
115053,COJATA,1993,10,75.6,-999.0,-999.0
115053,COJATA,1993,11,66.7,-999.0,-999.0
115053,COJATA,1993,12,113.6,-999.0,-999.0
115053,COJATA,1994,1,111.3,-999.0,-999.0
115053,COJATA,1994,2,169.9,-999.0,-999.0
115053,COJATA,1994,3,132.8,-999.0,-999.0
115053,COJATA,1994,4,123.0,-999.0,-999.0
115053,COJATA,1994,5,31.8,-999.0,-999.0
115053,COJATA,1994,6,7.9,-999.0,-999.0
115053,COJATA,1994,7,0.0,-999.0,-999.0
115053,COJATA,1994,8,0.0,-999.0,-999.0
115053,COJATA,1994,9,56.1,-999.0,-999.0
115053,COJATA,1994,10,67.1,-999.0,-999.0
115053,COJATA,1994,11,114.9,-999.0,-999.0
115053,COJATA,1994,12,122.3,-999.0,-999.0
115053,COJATA,1995,1,153.1,-999.0,-999.0
115053,COJATA,1995,2,96.0,-999.0,-999.0
115053,COJATA,1995,3,142.7,-999.0,-999.0
115053,COJATA,1995,4,33.5,-999.0,-999.0
115053,COJATA,1995,5,8.5,-999.0,-999.0
115053,COJATA,1995,6,0.0,-999.0,-999.0
115053,COJATA,1995,7,6.9,-999.0,-999.0
115053,COJATA,1995,8,0.0,-999.0,-999.0
115053,COJATA,1995,9,20.7,-999.0,-999.0
115053,COJATA,1995,10,34.0,-999.0,-999.0
115053,COJATA,1995,11,53.3,-999.0,-999.0
115053,COJATA,1995,12,97.9,-999.0,-999.0
115053,COJATA,1996,1,127.2,-999.0,-999.0
115053,COJATA,1996,2,87.0,-999.0,-999.0
115053,COJATA,1996,3,111.2,-999.0,-999.0
115053,COJATA,1996,4,70.6,-999.0,-999.0
115053,COJATA,1996,5,32.5,-999.0,-999.0
115053,COJATA,1996,6,0.0,-999.0,-999.0
115053,COJATA,1996,7,5.3,-999.0,-999.0
115053,COJATA,1996,8,27.7,-999.0,-999.0
115053,COJATA,1996,9,29.8,-999.0,-999.0
115053,COJATA,1996,10,52.2,-999.0,-999.0
115053,COJATA,1996,11,88.3,-999.0,-999.0
115053,COJATA,1996,12,130.5,-999.0,-999.0
115053,COJATA,1997,1,160.7,-999.0,-999.0
115053,COJATA,1997,2,161.2,-999.0,-999.0
115053,COJATA,1997,3,144.9,-999.0,-999.0
115053,COJATA,1997,4,-999.0,-999.0,-999.0
115053,COJATA,1997,5,11.5,-999.0,-999.0
115053,COJATA,1997,6,0.0,-999.0,-999.0
115053,COJATA,1997,7,7.9,-999.0,-999.0
115053,COJATA,1997,8,24.6,-999.0,-999.0
115053,COJATA,1997,9,41.0,-999.0,-999.0
115053,COJATA,1997,10,57.1,-999.0,-999.0
115053,COJATA,1997,11,79.5,-999.0,-999.0
115053,COJATA,1997,12,55.9,-999.0,-999.0
115053,COJATA,1998,1,82.6,-999.0,-999.0
115053,COJATA,1998,2,184.5,-999.0,-999.0
115053,COJATA,1998,3,119.1,-999.0,-999.0
115053,COJATA,1998,4,81.2,-999.0,-999.0
115053,COJATA,1998,5,0.0,-999.0,-999.0
115053,COJATA,1998,6,12.0,-999.0,-999.0
115053,COJATA,1998,7,0.0,-999.0,-999.0
115053,COJATA,1998,8,8.1,-999.0,-999.0
115053,COJATA,1998,9,5.0,-999.0,-999.0
115053,COJATA,1998,10,70.9,-999.0,-999.0
115053,COJATA,1998,11,111.0,-999.0,-999.0
115053,COJATA,1998,12,41.4,-999.0,-999.0
115053,COJATA,1999,1,125.7,-999.0,-999.0
115053,COJATA,1999,2,122.7,-999.0,-999.0
115053,COJATA,1999,3,160.8,-999.0,-999.0
115053,COJATA,1999,4,47.6,-999.0,-999.0
115053,COJATA,1999,5,13.2,-999.0,-999.0
115053,COJATA,1999,6,4.9,-999.0,-999.0
115053,COJATA,1999,7,3.4,-999.0,-999.0
115053,COJATA,1999,8,0.0,-999.0,-999.0
115053,COJATA,1999,9,60.7,-999.0,-999.0
115053,COJATA,1999,10,63.7,-999.0,-999.0
115053,COJATA,1999,11,44.1,-999.0,-999.0
115053,COJATA,1999,12,88.9,-999.0,-999.0
115053,COJATA,2000,1,144.7,-999.0,-999.0
115053,COJATA,2000,2,115.9,-999.0,-999.0
115053,COJATA,2000,3,64.8,-999.0,-999.0
115053,COJATA,2000,4,26.5,-999.0,-999.0
115053,COJATA,2000,5,10.7,-999.0,-999.0
115053,COJATA,2000,6,19.6,-999.0,-999.0
115053,COJATA,2000,7,5.4,12.23,-11.47
115053,COJATA,2000,8,40.3,13.2,-7.55
115053,COJATA,2000,9,28.5,-999.0,-5.37
115053,COJATA,2000,10,115.6,12.96,-4.14
115053,COJATA,2000,11,22.9,14.21,-3.75
115053,COJATA,2000,12,124.7,13.18,-2.27
115053,COJATA,2001,1,164.6,12.59,-1.63
115053,COJATA,2001,2,58.5,13.08,-1.69
115053,COJATA,2001,3,232.7,14.42,1.04
115053,COJATA,2001,4,29.8,14.03,-1.61
115053,COJATA,2001,5,37.6,12.63,-2.31
115053,COJATA,2001,6,6.8,11.78,-5.83
115053,COJATA,2001,7,19.2,11.27,-7.73
115053,COJATA,2001,8,32.7,12.5,-7.87
115053,COJATA,2001,9,42.2,13.54,-4.74
115053,COJATA,2001,10,82.1,14.11,-2.7
115053,COJATA,2001,11,102.6,13.79,-2.14
115053,COJATA,2001,12,74.0,13.78,-1.36
115053,COJATA,2002,1,83.2,12.91,0.71
115053,COJATA,2002,2,189.5,12.55,1.96
115053,COJATA,2002,3,130.3,12.59,1.16
115053,COJATA,2002,4,57.6,12.08,0.12
115053,COJATA,2002,5,26.2,11.82,-2.84
115053,COJATA,2002,6,0.8,11.39,-5.5
115053,COJATA,2002,7,37.9,9.41,-5.44
115053,COJATA,2002,8,19.9,10.76,-6.02
115053,COJATA,2002,9,43.5,12.2,-4.21
115053,COJATA,2002,10,111.9,12.04,-0.44
115053,COJATA,2002,11,87.4,13.19,-0.15
115053,COJATA,2002,12,92.5,13.35,1.74
115053,COJATA,2003,1,173.5,11.97,2.21
115053,COJATA,2003,2,135.6,12.14,1.62
115053,COJATA,2003,3,130.4,11.78,0.96
115053,COJATA,2003,4,55.1,12.03,-1.52
115053,COJATA,2003,5,13.6,11.95,-5.11
115053,COJATA,2003,6,6.8,11.7,-10.14
115053,COJATA,2003,7,0.0,11.8,-9.99
115053,COJATA,2003,8,29.5,11.45,-8.25
115053,COJATA,2003,9,17.1,12.1,-4.91
115053,COJATA,2003,10,43.9,13.75,-5.66
115053,COJATA,2003,11,84.6,13.89,-1.59
115053,COJATA,2003,12,119.3,12.72,-0.04
115053,COJATA,2004,1,240.4,11.81,1.21
115053,COJATA,2004,2,54.9,12.3,0.58
115053,COJATA,2004,3,35.8,12.84,-1.35
115053,COJATA,2004,4,55.2,13.37,-1.47
115053,COJATA,2004,5,19.0,12.98,-7.09
115053,COJATA,2004,6,19.1,11.44,-8.7
115053,COJATA,2004,7,6.4,11.02,-11.35
115053,COJATA,2004,8,22.3,12.35,-8.45
115053,COJATA,2004,9,47.2,12.94,-4.71
115053,COJATA,2004,10,29.1,13.7,-2.35
115053,COJATA,2004,11,73.0,13.39,-0.52
115053,COJATA,2004,12,35.0,13.58,0.24
115053,COJATA,2005,1,148.1,12.79,1.34
115053,COJATA,2005,2,131.3,12.26,2.57
115053,COJATA,2005,3,81.8,12.26,2.44
115053,COJATA,2005,4,30.3,13.09,-3.48
115053,COJATA,2005,5,0.8,12.22,-10.06
115053,COJATA,2005,6,0.0,12.18,-12.87
115053,COJATA,2005,7,2.4,12.98,-11.89
115053,COJATA,2005,8,1.8,13.26,-12.65
115053,COJATA,2005,9,18.2,13.39,-7.22
115053,COJATA,2005,10,107.5,12.62,-0.34
115053,COJATA,2005,11,83.3,13.06,0.95
115053,COJATA,2005,12,68.5,12.29,0.27
115053,COJATA,2006,1,231.4,12.55,0.96
115053,COJATA,2006,2,38.5,12.37,1.73
115053,COJATA,2006,3,80.8,12.57,-0.06
115053,COJATA,2006,4,47.7,12.11,-2.59
115053,COJATA,2006,5,3.8,12.39,-8.29
115053,COJATA,2006,6,0.0,11.46,-10.1
115053,COJATA,2006,7,0.0,12.21,-14.09
115053,COJATA,2006,8,7.2,12.67,-8.95
115053,COJATA,2006,9,19.8,12.72,-7.36
115053,COJATA,2006,10,43.6,12.56,-2.19
115053,COJATA,2006,11,59.7,13.04,-0.1
115053,COJATA,2006,12,84.7,12.78,0.91
115053,COJATA,2007,1,144.1,12.63,1.82
115053,COJATA,2007,2,53.3,12.29,1.07
115053,COJATA,2007,3,143.5,10.68,1.3
115053,COJATA,2007,4,78.3,12.03,-0.45
115053,COJATA,2007,5,37.1,11.66,-1.87
115053,COJATA,2007,6,0.0,12.63,-7.9
115053,COJATA,2007,7,0.0,12.23,-7.39
115053,COJATA,2007,8,2.9,13.81,-10.7
115053,COJATA,2007,9,66.6,11.47,-3.05
115053,COJATA,2007,10,30.1,13.47,-4.16
115053,COJATA,2007,11,99.1,12.8,-0.91
115053,COJATA,2007,12,112.0,11.78,-0.15
115053,COJATA,2008,1,130.1,10.85,1.34
115053,COJATA,2008,2,42.9,11.11,0.49
115053,COJATA,2008,3,79.2,11.37,-0.73
115053,COJATA,2008,4,20.0,12.37,-3.7
115053,COJATA,2008,5,3.5,12.09,-7.8
115053,COJATA,2008,6,8.5,12.63,-10.77
115053,COJATA,2008,7,0.0,12.33,-12.38
115053,COJATA,2008,8,3.5,13.27,-10.93
115053,COJATA,2008,9,16.3,13.5,-8.38
115053,COJATA,2008,10,79.7,12.4,-2.21
115053,COJATA,2008,11,26.7,13.94,-1.9
115053,COJATA,2008,12,117.1,12.43,0.67
115053,COJATA,2009,1,99.4,11.82,0.8
115053,COJATA,2009,2,61.5,12.06,0.57
115053,COJATA,2009,3,55.9,12.05,-0.13
115053,COJATA,2009,4,12.1,12.77,-4.17
115053,COJATA,2009,5,2.6,12.54,-7.09
115053,COJATA,2009,6,0.0,12.29,-12.68
115053,COJATA,2009,7,5.2,12.04,-10.49
115053,COJATA,2009,8,0.0,13.22,-12.9
115053,COJATA,2009,9,12.0,13.57,-6.65
115053,COJATA,2009,10,51.2,14.55,-4.34
115053,COJATA,2009,11,66.3,13.5,-1.13
115053,COJATA,2009,12,141.2,12.69,0.85
115053,COJATA,2010,1,135.7,11.92,2.31
115053,COJATA,2010,2,152.8,12.33,2.69
115053,COJATA,2010,3,74.7,12.34,0.82
115053,COJATA,2010,4,12.5,13.54,-2.11
115053,COJATA,2010,5,14.9,12.69,-4.57
115053,COJATA,2010,6,1.5,13.76,-8.34
115053,COJATA,2010,7,2.7,13.1,-10.6
115053,COJATA,2010,8,2.2,14.34,-11.57
115053,COJATA,2010,9,0.4,14.64,-8.25
115053,COJATA,2010,10,35.5,13.6,-3.11
115053,COJATA,2010,11,6.2,15.52,-3.83
115053,COJATA,2010,12,188.7,12.88,0.03
115053,COJATA,2011,1,57.9,12.13,0.6
115053,COJATA,2011,2,136.1,10.81,1.76
115053,COJATA,2011,3,116.5,11.28,1.29
115053,COJATA,2011,4,35.8,12.13,-1.59
115053,COJATA,2011,5,9.3,12.14,-4.73
115053,COJATA,2011,6,0.5,12.09,-8.52
115053,COJATA,2011,7,7.9,11.58,-8.71
115053,COJATA,2011,8,9.7,13.17,-9.5
115053,COJATA,2011,9,61.7,12.54,-4.61
115053,COJATA,2011,10,102.4,12.72,-1.75
115053,COJATA,2011,11,48.4,13.55,-1.53
115053,COJATA,2011,12,114.8,12.29,-0.02
115053,COJATA,2012,1,104.5,11.84,1.07
115053,COJATA,2012,2,150.4,10.87,1.3
115053,COJATA,2012,3,101.6,11.29,-0.01
115053,COJATA,2012,4,78.0,11.36,-0.43
115053,COJATA,2012,5,1.2,12.17,-3.68
115053,COJATA,2012,6,2.4,11.89,-6.95
115053,COJATA,2012,7,13.3,11.88,-10.67
115053,COJATA,2012,8,5.8,12.94,-11.47
115053,COJATA,2012,9,35.2,12.27,-9.52
115053,COJATA,2012,10,59.6,13.05,-3.98
115053,COJATA,2012,11,37.5,13.66,-1.83
115053,COJATA,2012,12,158.4,11.42,1.6
115053,COJATA,2013,1,157.3,10.95,1.62
115053,COJATA,2013,2,124.3,11.8,2.02
115053,COJATA,2013,3,102.3,12.31,1.2
115053,COJATA,2013,4,16.5,13.64,-1.85
115053,COJATA,2013,5,26.8,13.46,-4.79
115053,COJATA,2013,6,-999.0,12.27,-7.6
115053,COJATA,2013,7,8.4,12.55,-10.59
115053,COJATA,2013,8,16.2,12.66,-10.4
115053,COJATA,2013,9,36.3,12.68,-8.74
115053,COJATA,2013,10,89.0,12.49,-3.09
115053,COJATA,2013,11,40.2,13.74,-1.83
115053,COJATA,2013,12,102.5,11.54,0.36
