CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115084,PULLHUAY (AYAHUASI),1990,1,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,2,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,3,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,4,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,5,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,6,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,7,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,8,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,9,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,10,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,11,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1990,12,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,1,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,2,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,3,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,4,38.6,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,5,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,6,79.2,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,8,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,9,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,10,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,11,39.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1991,12,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,1,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,2,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,3,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,4,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,5,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,6,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,8,6.3,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,9,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,10,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,11,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1992,12,54.7,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,1,232.8,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,2,65.8,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,3,382.8,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,4,20.3,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,5,2.8,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,6,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,8,20.3,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,9,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,10,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,11,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1993,12,83.4,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,1,278.6,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,2,261.5,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,3,83.4,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,4,39.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,5,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,6,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,8,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,9,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,10,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,11,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1994,12,35.8,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,1,61.3,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,2,5.5,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,3,148.6,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,4,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,5,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,6,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,8,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,9,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,10,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,11,75.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1995,12,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,1,125.6,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,2,43.4,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,3,60.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,4,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,5,31.6,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,6,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,7,0.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,8,19.5,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,9,27.9,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,10,-999.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,11,50.9,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1996,12,76.9,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1997,1,224.3,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1997,2,370.0,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1997,3,293.4,-999.0,-999.0
115084,PULLHUAY (AYAHUASI),1997,4,28.1,-999.0,-999.0
