CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115086,ORCOPAMPA,1990,1,58.5,-999.0,-999.0
115086,ORCOPAMPA,1990,2,-999.0,-999.0,-999.0
115086,ORCOPAMPA,1990,3,-999.0,-999.0,-999.0
115086,ORCOPAMPA,1990,4,17.7,-999.0,-999.0
115086,ORCOPAMPA,1990,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1990,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1990,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1990,8,10.0,-999.0,-999.0
115086,ORCOPAMPA,1990,9,0.0,-999.0,-999.0
115086,ORCOPAMPA,1990,10,10.0,-999.0,-999.0
115086,ORCOPAMPA,1990,11,149.5,-999.0,-999.0
115086,ORCOPAMPA,1990,12,25.0,-999.0,-999.0
115086,ORCOPAMPA,1991,1,91.8,-999.0,-999.0
115086,ORCOPAMPA,1991,2,67.7,-999.0,-999.0
115086,ORCOPAMPA,1991,3,158.4,-999.0,-999.0
115086,ORCOPAMPA,1991,4,9.4,-999.0,-999.0
115086,ORCOPAMPA,1991,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1991,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1991,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1991,8,2.0,-999.0,-999.0
115086,ORCOPAMPA,1991,9,3.1,-999.0,-999.0
115086,ORCOPAMPA,1991,10,4.1,-999.0,-999.0
115086,ORCOPAMPA,1991,11,65.2,-999.0,-999.0
115086,ORCOPAMPA,1991,12,40.9,-999.0,-999.0
115086,ORCOPAMPA,1992,1,45.0,-999.0,-999.0
115086,ORCOPAMPA,1992,2,18.0,-999.0,-999.0
115086,ORCOPAMPA,1992,3,5.0,-999.0,-999.0
115086,ORCOPAMPA,1992,4,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,8,12.2,-999.0,-999.0
115086,ORCOPAMPA,1992,9,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,10,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,11,0.0,-999.0,-999.0
115086,ORCOPAMPA,1992,12,48.8,-999.0,-999.0
115086,ORCOPAMPA,1993,1,94.7,-999.0,-999.0
115086,ORCOPAMPA,1993,2,64.6,-999.0,-999.0
115086,ORCOPAMPA,1993,3,77.5,-999.0,-999.0
115086,ORCOPAMPA,1993,4,19.4,-999.0,-999.0
115086,ORCOPAMPA,1993,5,10.9,-999.0,-999.0
115086,ORCOPAMPA,1993,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1993,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1993,8,12.0,-999.0,-999.0
115086,ORCOPAMPA,1993,9,9.8,-999.0,-999.0
115086,ORCOPAMPA,1993,10,47.5,-999.0,-999.0
115086,ORCOPAMPA,1993,11,15.0,-999.0,-999.0
115086,ORCOPAMPA,1993,12,50.7,-999.0,-999.0
115086,ORCOPAMPA,1994,1,161.5,-999.0,-999.0
115086,ORCOPAMPA,1994,2,165.0,-999.0,-999.0
115086,ORCOPAMPA,1994,3,55.5,-999.0,-999.0
115086,ORCOPAMPA,1994,4,26.1,-999.0,-999.0
115086,ORCOPAMPA,1994,5,4.6,-999.0,-999.0
115086,ORCOPAMPA,1994,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1994,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1994,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,1994,9,0.0,-999.0,-999.0
115086,ORCOPAMPA,1994,10,0.0,-999.0,-999.0
115086,ORCOPAMPA,1994,11,3.1,-999.0,-999.0
115086,ORCOPAMPA,1994,12,25.2,-999.0,-999.0
115086,ORCOPAMPA,1995,1,52.2,-999.0,-999.0
115086,ORCOPAMPA,1995,2,33.8,-999.0,-999.0
115086,ORCOPAMPA,1995,3,154.8,-999.0,-999.0
115086,ORCOPAMPA,1995,4,19.7,-999.0,-999.0
115086,ORCOPAMPA,1995,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1995,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1995,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1995,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,1995,9,12.5,-999.0,-999.0
115086,ORCOPAMPA,1995,10,14.3,-999.0,-999.0
115086,ORCOPAMPA,1995,11,57.9,-999.0,-999.0
115086,ORCOPAMPA,1995,12,43.4,-999.0,-999.0
115086,ORCOPAMPA,1996,1,69.5,-999.0,-999.0
115086,ORCOPAMPA,1996,2,149.3,-999.0,-999.0
115086,ORCOPAMPA,1996,3,79.6,-999.0,-999.0
115086,ORCOPAMPA,1996,4,42.5,-999.0,-999.0
115086,ORCOPAMPA,1996,5,11.3,-999.0,-999.0
115086,ORCOPAMPA,1996,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1996,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1996,8,3.5,-999.0,-999.0
115086,ORCOPAMPA,1996,9,1.2,-999.0,-999.0
115086,ORCOPAMPA,1996,10,3.9,-999.0,-999.0
115086,ORCOPAMPA,1996,11,35.4,-999.0,-999.0
115086,ORCOPAMPA,1996,12,53.5,-999.0,-999.0
115086,ORCOPAMPA,1997,1,111.9,-999.0,-999.0
115086,ORCOPAMPA,1997,2,140.8,-999.0,-999.0
115086,ORCOPAMPA,1997,3,62.9,-999.0,-999.0
115086,ORCOPAMPA,1997,4,8.3,-999.0,-999.0
115086,ORCOPAMPA,1997,5,4.1,-999.0,-999.0
115086,ORCOPAMPA,1997,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1997,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1997,8,21.4,-999.0,-999.0
115086,ORCOPAMPA,1997,9,30.0,-999.0,-999.0
115086,ORCOPAMPA,1997,10,4.7,-999.0,-999.0
115086,ORCOPAMPA,1997,11,46.2,-999.0,-999.0
115086,ORCOPAMPA,1997,12,140.1,-999.0,-999.0
115086,ORCOPAMPA,1998,1,134.6,-999.0,-999.0
115086,ORCOPAMPA,1998,2,72.0,-999.0,-999.0
115086,ORCOPAMPA,1998,3,76.3,-999.0,-999.0
115086,ORCOPAMPA,1998,4,2.3,-999.0,-999.0
115086,ORCOPAMPA,1998,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,9,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,10,0.0,-999.0,-999.0
115086,ORCOPAMPA,1998,11,58.2,-999.0,-999.0
115086,ORCOPAMPA,1998,12,78.3,-999.0,-999.0
115086,ORCOPAMPA,1999,1,63.6,-999.0,-999.0
115086,ORCOPAMPA,1999,2,195.5,-999.0,-999.0
115086,ORCOPAMPA,1999,3,181.9,-999.0,-999.0
115086,ORCOPAMPA,1999,4,56.7,-999.0,-999.0
115086,ORCOPAMPA,1999,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,1999,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,1999,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,1999,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,1999,9,17.2,-999.0,-999.0
115086,ORCOPAMPA,1999,10,35.0,-999.0,-999.0
115086,ORCOPAMPA,1999,11,2.6,-999.0,-999.0
115086,ORCOPAMPA,1999,12,41.7,-999.0,-999.0
115086,ORCOPAMPA,2000,1,155.1,-999.0,-999.0
115086,ORCOPAMPA,2000,2,144.6,-999.0,-999.0
115086,ORCOPAMPA,2000,3,96.8,-999.0,-999.0
115086,ORCOPAMPA,2000,4,32.4,-999.0,-999.0
115086,ORCOPAMPA,2000,5,4.2,-999.0,-999.0
115086,ORCOPAMPA,2000,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,2000,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,2000,8,2.7,-999.0,-999.0
115086,ORCOPAMPA,2000,9,2.1,-999.0,-999.0
115086,ORCOPAMPA,2000,10,66.4,-999.0,-999.0
115086,ORCOPAMPA,2000,11,0.5,-999.0,-999.0
115086,ORCOPAMPA,2000,12,77.0,-999.0,-999.0
115086,ORCOPAMPA,2001,1,138.4,-999.0,-999.0
115086,ORCOPAMPA,2001,2,165.1,-999.0,-999.0
115086,ORCOPAMPA,2001,3,70.7,-999.0,-999.0
115086,ORCOPAMPA,2001,4,47.5,-999.0,-999.0
115086,ORCOPAMPA,2001,5,5.2,-999.0,-999.0
115086,ORCOPAMPA,2001,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,2001,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,2001,8,5.1,-999.0,-999.0
115086,ORCOPAMPA,2001,9,7.2,-999.0,-999.0
115086,ORCOPAMPA,2001,10,12.4,-999.0,-999.0
115086,ORCOPAMPA,2001,11,1.7,-999.0,-999.0
115086,ORCOPAMPA,2001,12,22.1,-999.0,-999.0
115086,ORCOPAMPA,2002,1,68.0,-999.0,-999.0
115086,ORCOPAMPA,2002,2,141.2,-999.0,-999.0
115086,ORCOPAMPA,2002,3,95.2,-999.0,-999.0
115086,ORCOPAMPA,2002,4,49.4,-999.0,-999.0
115086,ORCOPAMPA,2002,5,5.0,-999.0,-999.0
115086,ORCOPAMPA,2002,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,2002,7,43.4,-999.0,-999.0
115086,ORCOPAMPA,2002,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,2002,9,3.0,-999.0,-999.0
115086,ORCOPAMPA,2002,10,13.8,-999.0,-999.0
115086,ORCOPAMPA,2002,11,43.6,-999.0,-999.0
115086,ORCOPAMPA,2002,12,101.1,-999.0,-999.0
115086,ORCOPAMPA,2003,1,74.1,-999.0,-999.0
115086,ORCOPAMPA,2003,2,-999.0,-999.0,-999.0
115086,ORCOPAMPA,2003,3,65.2,-999.0,-999.0
115086,ORCOPAMPA,2003,4,12.0,-999.0,-999.0
115086,ORCOPAMPA,2003,5,6.3,-999.0,-999.0
115086,ORCOPAMPA,2003,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,2003,7,0.0,-999.0,-999.0
115086,ORCOPAMPA,2003,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,2003,9,1.0,-999.0,-999.0
115086,ORCOPAMPA,2003,10,0.0,-999.0,-999.0
115086,ORCOPAMPA,2003,11,0.6,-999.0,-999.0
115086,ORCOPAMPA,2003,12,44.6,-999.0,-999.0
115086,ORCOPAMPA,2004,1,140.8,-999.0,-999.0
115086,ORCOPAMPA,2004,2,115.3,-999.0,-999.0
115086,ORCOPAMPA,2004,3,54.0,-999.0,-999.0
115086,ORCOPAMPA,2004,4,14.3,-999.0,-999.0
115086,ORCOPAMPA,2004,5,0.0,-999.0,-999.0
115086,ORCOPAMPA,2004,6,0.0,-999.0,-999.0
115086,ORCOPAMPA,2004,7,9.8,-999.0,-999.0
115086,ORCOPAMPA,2004,8,0.0,-999.0,-999.0
115086,ORCOPAMPA,2004,9,7.7,19.45,-0.57
115086,ORCOPAMPA,2004,10,1.1,20.07,-0.34
115086,ORCOPAMPA,2004,11,0.0,20.3,0.35
115086,ORCOPAMPA,2004,12,34.5,19.78,1.37
115086,ORCOPAMPA,2005,1,59.0,18.92,2.95
115086,ORCOPAMPA,2005,2,64.8,17.47,4.25
115086,ORCOPAMPA,2005,3,51.1,18.52,2.95
115086,ORCOPAMPA,2005,4,12.3,18.74,1.17
115086,ORCOPAMPA,2005,5,0.0,18.32,-2.35
115086,ORCOPAMPA,2005,6,0.0,17.38,-4.47
115086,ORCOPAMPA,2005,7,0.0,17.96,-2.21
115086,ORCOPAMPA,2005,8,0.0,18.04,-3.54
115086,ORCOPAMPA,2005,9,13.3,18.09,-1.65
115086,ORCOPAMPA,2005,10,2.5,19.06,-0.45
115086,ORCOPAMPA,2005,11,4.5,19.67,-0.14
115086,ORCOPAMPA,2005,12,90.0,17.71,2.29
115086,ORCOPAMPA,2006,1,123.7,16.99,3.79
115086,ORCOPAMPA,2006,2,121.6,16.9,3.98
115086,ORCOPAMPA,2006,3,93.8,17.21,4.01
115086,ORCOPAMPA,2006,4,3.4,17.97,1.54
115086,ORCOPAMPA,2006,5,0.0,17.78,-2.32
115086,ORCOPAMPA,2006,6,0.0,17.08,-2.06
115086,ORCOPAMPA,2006,7,0.0,17.28,-3.72
115086,ORCOPAMPA,2006,8,0.0,17.88,-0.97
115086,ORCOPAMPA,2006,9,5.6,16.67,-2.01
115086,ORCOPAMPA,2006,10,9.9,-999.0,-0.55
115086,ORCOPAMPA,2006,11,43.7,-999.0,1.59
115086,ORCOPAMPA,2006,12,22.7,17.74,1.73
115086,ORCOPAMPA,2007,1,83.9,17.75,3.87
115086,ORCOPAMPA,2007,2,145.5,15.19,4.08
115086,ORCOPAMPA,2007,3,100.5,-999.0,4.27
115086,ORCOPAMPA,2007,4,29.8,17.11,1.93
115086,ORCOPAMPA,2007,5,4.4,-999.0,-1.46
115086,ORCOPAMPA,2007,6,0.0,17.38,-2.21
115086,ORCOPAMPA,2007,7,0.0,-999.0,-3.65
115086,ORCOPAMPA,2007,8,0.0,-999.0,-3.08
115086,ORCOPAMPA,2007,9,0.0,-999.0,-0.71
115086,ORCOPAMPA,2007,10,6.0,-999.0,-0.78
115086,ORCOPAMPA,2007,11,14.6,19.38,-0.78
115086,ORCOPAMPA,2007,12,22.5,18.87,0.98
115086,ORCOPAMPA,2008,1,166.1,16.39,3.77
115086,ORCOPAMPA,2008,2,51.0,16.72,2.88
115086,ORCOPAMPA,2008,3,44.5,17.26,1.52
115086,ORCOPAMPA,2008,4,0.0,18.25,-0.62
115086,ORCOPAMPA,2008,5,0.0,17.83,-2.81
115086,ORCOPAMPA,2008,6,0.0,17.79,-3.25
115086,ORCOPAMPA,2008,7,0.0,17.88,-5.05
115086,ORCOPAMPA,2008,8,3.0,18.01,-3.9
115086,ORCOPAMPA,2008,9,1.9,19.95,-2.69
115086,ORCOPAMPA,2008,10,6.7,19.57,0.5
115086,ORCOPAMPA,2008,11,2.8,20.8,1.27
115086,ORCOPAMPA,2008,12,59.5,18.45,2.06
115086,ORCOPAMPA,2009,1,74.8,18.04,3.27
115086,ORCOPAMPA,2009,2,112.3,16.61,4.88
115086,ORCOPAMPA,2009,3,65.1,17.34,2.9
115086,ORCOPAMPA,2009,4,31.3,18.21,2.1
115086,ORCOPAMPA,2009,5,0.0,-999.0,-1.77
115086,ORCOPAMPA,2009,6,0.0,17.97,-4.75
115086,ORCOPAMPA,2009,7,6.0,17.67,-1.84
115086,ORCOPAMPA,2009,8,0.0,-999.0,-2.76
115086,ORCOPAMPA,2009,9,9.1,19.34,-0.39
115086,ORCOPAMPA,2009,10,0.0,20.23,0.06
115086,ORCOPAMPA,2009,11,6.8,19.61,1.07
115086,ORCOPAMPA,2009,12,16.6,19.58,2.19
115086,ORCOPAMPA,2010,1,83.4,19.19,3.16
115086,ORCOPAMPA,2010,2,109.2,18.69,3.76
115086,ORCOPAMPA,2010,3,59.9,19.7,2.96
115086,ORCOPAMPA,2010,4,7.8,19.81,1.29
115086,ORCOPAMPA,2010,5,3.4,18.74,-1.73
115086,ORCOPAMPA,2010,6,0.0,19.45,-1.95
115086,ORCOPAMPA,2010,7,0.0,18.25,-3.97
115086,ORCOPAMPA,2010,8,0.0,19.57,-1.83
115086,ORCOPAMPA,2010,9,0.0,20.05,-0.78
115086,ORCOPAMPA,2010,10,5.8,19.92,-0.02
115086,ORCOPAMPA,2010,11,11.4,19.64,-0.43
115086,ORCOPAMPA,2010,12,59.4,18.28,2.48
115086,ORCOPAMPA,2011,1,102.4,17.91,2.85
115086,ORCOPAMPA,2011,2,155.6,15.76,4.0
115086,ORCOPAMPA,2011,3,51.0,17.36,1.97
115086,ORCOPAMPA,2011,4,44.3,18.09,1.65
115086,ORCOPAMPA,2011,5,10.0,18.35,0.17
115086,ORCOPAMPA,2011,6,0.0,17.79,-2.21
115086,ORCOPAMPA,2011,7,0.8,17.14,-2.14
115086,ORCOPAMPA,2011,8,1.7,18.29,-1.46
115086,ORCOPAMPA,2011,9,0.0,19.43,-0.5
115086,ORCOPAMPA,2011,10,1.7,19.65,-0.7
115086,ORCOPAMPA,2011,11,11.0,20.26,2.15
115086,ORCOPAMPA,2011,12,107.5,18.4,2.58
115086,ORCOPAMPA,2012,1,108.9,17.61,2.97
115086,ORCOPAMPA,2012,2,151.6,16.51,2.9
115086,ORCOPAMPA,2012,3,107.1,17.59,2.43
115086,ORCOPAMPA,2012,4,58.9,17.14,1.94
115086,ORCOPAMPA,2012,5,2.5,17.87,-1.25
115086,ORCOPAMPA,2012,6,0.0,17.66,-2.79
115086,ORCOPAMPA,2012,7,1.0,18.15,-2.63
115086,ORCOPAMPA,2012,8,1.0,19.43,-0.09
115086,ORCOPAMPA,2012,9,20.8,20.69,0.43
115086,ORCOPAMPA,2012,10,21.8,21.21,0.32
115086,ORCOPAMPA,2012,11,1.0,21.94,1.67
115086,ORCOPAMPA,2012,12,138.0,20.31,4.21
115086,ORCOPAMPA,2013,1,119.0,20.77,3.36
115086,ORCOPAMPA,2013,2,171.3,21.31,3.88
115086,ORCOPAMPA,2013,3,76.4,22.06,2.99
115086,ORCOPAMPA,2013,4,9.1,22.83,0.59
115086,ORCOPAMPA,2013,5,13.6,21.44,0.64
115086,ORCOPAMPA,2013,6,-999.0,19.62,0.79
115086,ORCOPAMPA,2013,7,-999.0,-999.0,-999.0
115086,ORCOPAMPA,2013,8,-999.0,-999.0,-999.0
115086,ORCOPAMPA,2013,9,-999.0,-999.0,-999.0
115086,ORCOPAMPA,2013,10,9.4,20.78,0.78
115086,ORCOPAMPA,2013,11,0.5,20.62,1.05
115086,ORCOPAMPA,2013,12,79.4,19.06,3.66
115086,ORCOPAMPA,2014,1,97.7,17.46,3.25
115086,ORCOPAMPA,2014,2,41.1,19.1,2.91
115086,ORCOPAMPA,2014,3,69.5,18.0,2.78
115086,ORCOPAMPA,2014,4,51.2,18.32,2.0
115086,ORCOPAMPA,2014,5,0.0,17.91,-1.33
115086,ORCOPAMPA,2014,6,0.0,19.23,-1.15
115086,ORCOPAMPA,2014,7,0.0,18.64,-1.23
115086,ORCOPAMPA,2014,8,5.2,18.5,-1.15
