CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115087,CHACHAS,1990,1,3.7,-999.0,-999.0
115087,CHACHAS,1990,2,0.9,-999.0,-999.0
115087,CHACHAS,1990,3,1.2,-999.0,-999.0
115087,CHACHAS,1990,4,0.0,-999.0,-999.0
115087,CHACHAS,1990,5,0.8,-999.0,-999.0
115087,CHACHAS,1990,6,3.6,-999.0,-999.0
115087,CHACHAS,1990,7,0.0,-999.0,-999.0
115087,CHACHAS,1990,8,7.5,-999.0,-999.0
115087,CHACHAS,1990,9,0.0,-999.0,-999.0
115087,CHACHAS,1990,10,0.0,-999.0,-999.0
115087,CHACHAS,1990,11,14.9,-999.0,-999.0
115087,CHACHAS,1990,12,82.4,-999.0,-999.0
115087,CHACHAS,1991,1,79.5,-999.0,-999.0
115087,CHACHAS,1991,2,30.0,-999.0,-999.0
115087,CHACHAS,1991,3,32.0,-999.0,-999.0
115087,CHACHAS,1991,4,0.0,-999.0,-999.0
115087,CHACHAS,1991,5,0.0,-999.0,-999.0
115087,CHACHAS,1991,6,38.5,-999.0,-999.0
115087,CHACHAS,1991,7,0.0,-999.0,-999.0
115087,CHACHAS,1991,8,0.0,-999.0,-999.0
115087,CHACHAS,1991,9,0.0,-999.0,-999.0
115087,CHACHAS,1991,10,0.0,-999.0,-999.0
115087,CHACHAS,1991,11,13.6,-999.0,-999.0
115087,CHACHAS,1991,12,0.0,-999.0,-999.0
115087,CHACHAS,1992,1,10.5,-999.0,-999.0
115087,CHACHAS,1992,2,0.0,-999.0,-999.0
115087,CHACHAS,1992,3,0.0,-999.0,-999.0
115087,CHACHAS,1992,4,0.0,-999.0,-999.0
115087,CHACHAS,1992,5,0.0,-999.0,-999.0
115087,CHACHAS,1992,6,0.0,-999.0,-999.0
115087,CHACHAS,1992,7,0.0,-999.0,-999.0
115087,CHACHAS,1992,8,6.0,-999.0,-999.0
115087,CHACHAS,1992,9,0.0,-999.0,-999.0
115087,CHACHAS,1992,10,0.8,-999.0,-999.0
115087,CHACHAS,1992,11,0.4,-999.0,-999.0
115087,CHACHAS,1992,12,9.3,-999.0,-999.0
115087,CHACHAS,1993,1,47.8,-999.0,-999.0
115087,CHACHAS,1993,2,29.7,-999.0,-999.0
115087,CHACHAS,1993,3,20.5,-999.0,-999.0
115087,CHACHAS,1993,4,0.0,-999.0,-999.0
115087,CHACHAS,1993,5,0.0,-999.0,-999.0
115087,CHACHAS,1993,6,0.0,-999.0,-999.0
115087,CHACHAS,1993,7,0.0,-999.0,-999.0
115087,CHACHAS,1993,8,9.3,-999.0,-999.0
115087,CHACHAS,1993,9,0.0,-999.0,-999.0
115087,CHACHAS,1993,10,24.4,-999.0,-999.0
115087,CHACHAS,1993,11,0.0,-999.0,-999.0
115087,CHACHAS,1993,12,16.7,-999.0,-999.0
115087,CHACHAS,1994,1,114.7,-999.0,-999.0
115087,CHACHAS,1994,2,116.2,-999.0,-999.0
115087,CHACHAS,1994,3,38.5,-999.0,-999.0
115087,CHACHAS,1994,4,22.9,-999.0,-999.0
115087,CHACHAS,1994,5,0.0,-999.0,-999.0
115087,CHACHAS,1994,6,0.0,-999.0,-999.0
115087,CHACHAS,1994,7,0.0,-999.0,-999.0
115087,CHACHAS,1994,8,0.0,-999.0,-999.0
115087,CHACHAS,1994,9,0.0,-999.0,-999.0
115087,CHACHAS,1994,10,0.0,-999.0,-999.0
115087,CHACHAS,1994,11,0.0,-999.0,-999.0
115087,CHACHAS,1994,12,18.0,-999.0,-999.0
115087,CHACHAS,1995,1,69.6,-999.0,-999.0
115087,CHACHAS,1995,2,0.0,-999.0,-999.0
