CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115088,AYO,1990,1,0.9,-999.0,-999.0
115088,AYO,1990,2,1.9,-999.0,-999.0
115088,AYO,1990,3,0.0,-999.0,-999.0
115088,AYO,1990,4,0.0,-999.0,-999.0
115088,AYO,1990,5,3.4,-999.0,-999.0
115088,AYO,1990,6,9.3,-999.0,-999.0
115088,AYO,1990,7,0.0,-999.0,-999.0
115088,AYO,1990,8,0.0,-999.0,-999.0
115088,AYO,1990,9,0.0,-999.0,-999.0
115088,AYO,1990,10,0.0,-999.0,-999.0
115088,AYO,1990,11,0.0,-999.0,-999.0
115088,AYO,1990,12,14.3,-999.0,-999.0
115088,AYO,1991,1,10.1,-999.0,-999.0
115088,AYO,1991,2,15.2,-999.0,-999.0
115088,AYO,1991,3,12.6,-999.0,-999.0
115088,AYO,1991,4,0.0,-999.0,-999.0
115088,AYO,1991,5,0.0,-999.0,-999.0
115088,AYO,1991,6,0.0,-999.0,-999.0
115088,AYO,1991,7,0.0,-999.0,-999.0
115088,AYO,1991,8,0.0,-999.0,-999.0
115088,AYO,1991,9,0.0,-999.0,-999.0
115088,AYO,1991,10,0.0,-999.0,-999.0
115088,AYO,1991,11,0.0,-999.0,-999.0
115088,AYO,1991,12,-999.0,-999.0,-999.0
115088,AYO,1992,1,0.0,-999.0,-999.0
115088,AYO,1992,2,0.0,-999.0,-999.0
115088,AYO,1992,3,0.0,-999.0,-999.0
115088,AYO,1992,4,0.0,-999.0,-999.0
115088,AYO,1992,5,0.0,-999.0,-999.0
115088,AYO,1992,6,0.0,-999.0,-999.0
115088,AYO,1992,7,0.0,-999.0,-999.0
115088,AYO,1992,8,0.0,-999.0,-999.0
115088,AYO,1992,9,-999.0,-999.0,-999.0
115088,AYO,1992,10,0.0,-999.0,-999.0
115088,AYO,1992,11,0.0,-999.0,-999.0
115088,AYO,1992,12,3.7,-999.0,-999.0
115088,AYO,1993,1,0.9,-999.0,-999.0
115088,AYO,1993,2,0.9,-999.0,-999.0
115088,AYO,1993,3,0.0,-999.0,-999.0
115088,AYO,1993,4,0.0,-999.0,-999.0
115088,AYO,1993,5,0.0,-999.0,-999.0
