CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116006,PAMPA DE MAJES,1990,1,0.0,25.74,12.79
116006,PAMPA DE MAJES,1990,2,-999.0,24.89,13.18
116006,PAMPA DE MAJES,1990,3,0.8,25.86,13.61
116006,PAMPA DE MAJES,1990,4,-999.0,25.1,11.57
116006,PAMPA DE MAJES,1990,5,0.0,24.79,10.95
116006,PAMPA DE MAJES,1990,6,0.0,25.59,10.3
116006,PAMPA DE MAJES,1990,7,0.0,24.09,8.0
116006,PAMPA DE MAJES,1990,8,0.0,26.44,9.92
116006,PAMPA DE MAJES,1990,9,-999.0,26.7,9.59
116006,PAMPA DE MAJES,1990,10,0.0,25.35,11.19
116006,PAMPA DE MAJES,1990,11,6.1,26.05,12.63
116006,PAMPA DE MAJES,1990,12,1.0,25.56,13.19
116006,PAMPA DE MAJES,1991,1,0.0,25.31,13.28
116006,PAMPA DE MAJES,1991,2,0.0,25.44,13.87
116006,PAMPA DE MAJES,1991,3,11.6,26.09,13.94
116006,PAMPA DE MAJES,1991,4,-999.0,26.76,12.09
116006,PAMPA DE MAJES,1991,5,0.0,26.85,10.15
116006,PAMPA DE MAJES,1991,6,0.0,25.44,8.76
116006,PAMPA DE MAJES,1991,7,-999.0,24.65,7.27
116006,PAMPA DE MAJES,1991,8,0.0,25.79,8.49
116006,PAMPA DE MAJES,1991,9,-999.0,26.55,10.11
116006,PAMPA DE MAJES,1991,10,0.0,24.84,9.76
116006,PAMPA DE MAJES,1991,11,1.5,25.64,11.12
116006,PAMPA DE MAJES,1991,12,0.0,26.39,11.91
116006,PAMPA DE MAJES,1992,1,0.0,26.31,13.31
116006,PAMPA DE MAJES,1992,2,0.0,26.11,12.82
116006,PAMPA DE MAJES,1992,3,-999.0,26.06,12.95
116006,PAMPA DE MAJES,1992,4,0.0,24.45,12.44
116006,PAMPA DE MAJES,1992,5,11.1,24.32,10.38
116006,PAMPA DE MAJES,1992,6,4.2,24.96,9.96
116006,PAMPA DE MAJES,1992,7,0.0,24.45,7.78
116006,PAMPA DE MAJES,1992,8,0.0,25.84,9.58
116006,PAMPA DE MAJES,1992,9,0.0,25.41,9.22
116006,PAMPA DE MAJES,1992,10,-999.0,25.9,10.73
116006,PAMPA DE MAJES,1992,11,-999.0,25.92,11.48
116006,PAMPA DE MAJES,1992,12,-999.0,-999.0,-999.0
116006,PAMPA DE MAJES,1993,1,0.1,25.34,13.96
116006,PAMPA DE MAJES,1993,2,0.0,25.83,13.62
116006,PAMPA DE MAJES,1993,3,-999.0,-999.0,-999.0
116006,PAMPA DE MAJES,1993,4,0.0,25.68,12.13
116006,PAMPA DE MAJES,1993,5,0.0,24.08,9.76
116006,PAMPA DE MAJES,1993,6,0.0,26.27,8.91
116006,PAMPA DE MAJES,1993,7,0.0,25.08,8.4
116006,PAMPA DE MAJES,1993,8,0.0,25.75,9.34
116006,PAMPA DE MAJES,1993,9,0.0,26.27,10.59
116006,PAMPA DE MAJES,1993,10,0.0,26.67,10.7
116006,PAMPA DE MAJES,1993,11,0.0,25.24,10.84
116006,PAMPA DE MAJES,1993,12,0.0,25.9,12.68
116006,PAMPA DE MAJES,1994,1,0.0,25.03,14.03
116006,PAMPA DE MAJES,1994,2,2.2,-999.0,-999.0
116006,PAMPA DE MAJES,1994,3,-999.0,-999.0,-999.0
116006,PAMPA DE MAJES,1994,4,0.0,25.44,10.88
116006,PAMPA DE MAJES,1994,5,0.0,25.27,9.07
116006,PAMPA DE MAJES,1994,6,0.0,24.81,7.64
116006,PAMPA DE MAJES,1994,7,0.0,24.77,7.91
116006,PAMPA DE MAJES,1994,8,0.0,25.08,8.44
116006,PAMPA DE MAJES,1994,9,-999.0,-999.0,-999.0
116006,PAMPA DE MAJES,1994,10,0.0,25.45,9.22
116006,PAMPA DE MAJES,1994,11,0.0,25.68,10.43
116006,PAMPA DE MAJES,1994,12,0.0,26.23,11.65
116006,PAMPA DE MAJES,1995,1,0.5,25.04,13.53
116006,PAMPA DE MAJES,1995,2,0.0,25.47,12.81
116006,PAMPA DE MAJES,1995,3,19.6,25.21,13.92
116006,PAMPA DE MAJES,1995,4,0.0,25.35,11.69
116006,PAMPA DE MAJES,1995,5,0.0,24.72,9.67
116006,PAMPA DE MAJES,1995,6,0.0,24.72,9.04
116006,PAMPA DE MAJES,1995,7,0.0,23.29,7.57
116006,PAMPA DE MAJES,1995,8,0.0,24.82,8.37
116006,PAMPA DE MAJES,1995,9,0.0,26.49,10.93
116006,PAMPA DE MAJES,1995,10,-999.0,25.76,10.03
116006,PAMPA DE MAJES,1995,11,0.0,25.63,11.16
116006,PAMPA DE MAJES,1995,12,0.0,25.94,11.45
116006,PAMPA DE MAJES,1996,1,0.0,24.83,12.65
116006,PAMPA DE MAJES,1996,2,0.0,25.74,14.16
116006,PAMPA DE MAJES,1996,3,0.0,25.54,13.28
116006,PAMPA DE MAJES,1996,4,0.0,24.21,11.8
116006,PAMPA DE MAJES,1996,5,0.0,25.21,10.46
116006,PAMPA DE MAJES,1996,6,0.0,25.67,9.74
116006,PAMPA DE MAJES,1996,7,0.0,25.99,8.83
116006,PAMPA DE MAJES,1996,8,0.0,25.39,9.03
116006,PAMPA DE MAJES,1996,9,0.0,25.36,9.16
116006,PAMPA DE MAJES,1996,10,0.0,24.98,10.17
