CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116017,LA PAMPILLA,1990,1,0.0,23.45,11.01
116017,LA PAMPILLA,1990,2,0.0,23.08,10.47
116017,LA PAMPILLA,1990,3,15.0,23.49,11.06
116017,LA PAMPILLA,1990,4,0.0,23.85,10.15
116017,LA PAMPILLA,1990,5,0.0,23.86,9.51
116017,LA PAMPILLA,1990,6,1.9,23.69,9.24
116017,LA PAMPILLA,1990,7,0.0,22.58,7.31
116017,LA PAMPILLA,1990,8,0.0,23.67,8.71
116017,LA PAMPILLA,1990,9,0.0,24.0,8.52
116017,LA PAMPILLA,1990,10,0.0,23.48,9.83
116017,LA PAMPILLA,1990,11,1.7,23.86,10.85
116017,LA PAMPILLA,1990,12,7.2,22.43,10.97
116017,LA PAMPILLA,1991,1,7.5,22.84,10.85
116017,LA PAMPILLA,1991,2,0.2,23.94,11.71
116017,LA PAMPILLA,1991,3,13.2,23.06,11.2
116017,LA PAMPILLA,1991,4,0.0,23.34,10.28
116017,LA PAMPILLA,1991,5,0.0,23.84,9.24
116017,LA PAMPILLA,1991,6,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,7,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,8,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,9,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,10,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,11,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1991,12,-999.0,-999.0,-999.0
116017,LA PAMPILLA,1992,1,0.0,23.97,11.06
116017,LA PAMPILLA,1992,2,1.0,23.34,9.97
116017,LA PAMPILLA,1992,3,0.0,24.06,9.65
116017,LA PAMPILLA,1992,4,0.0,23.59,9.33
116017,LA PAMPILLA,1992,5,0.0,22.62,8.45
116017,LA PAMPILLA,1992,6,0.0,23.15,6.49
116017,LA PAMPILLA,1992,7,0.0,22.65,7.08
116017,LA PAMPILLA,1992,8,0.0,23.18,7.6
116017,LA PAMPILLA,1992,9,0.0,-999.0,7.26
116017,LA PAMPILLA,1992,10,0.0,24.31,9.45
116017,LA PAMPILLA,1992,11,0.0,23.76,9.15
116017,LA PAMPILLA,1992,12,4.0,23.48,10.28
116017,LA PAMPILLA,1993,1,44.3,21.91,10.79
116017,LA PAMPILLA,1993,2,2.1,22.12,9.96
116017,LA PAMPILLA,1993,3,0.0,22.55,10.5
116017,LA PAMPILLA,1993,4,0.0,23.12,10.02
116017,LA PAMPILLA,1993,5,0.0,22.93,8.17
116017,LA PAMPILLA,1993,6,0.0,24.0,7.54
116017,LA PAMPILLA,1993,7,0.0,23.12,6.67
116017,LA PAMPILLA,1993,8,3.1,22.92,7.42
116017,LA PAMPILLA,1993,9,0.0,23.27,8.24
116017,LA PAMPILLA,1993,10,1.8,23.99,9.76
116017,LA PAMPILLA,1993,11,0.0,23.53,9.92
116017,LA PAMPILLA,1993,12,0.0,23.39,10.89
116017,LA PAMPILLA,1994,1,39.3,21.37,11.05
116017,LA PAMPILLA,1994,2,33.7,21.24,11.0
116017,LA PAMPILLA,1994,3,11.7,22.94,10.44
116017,LA PAMPILLA,1994,4,0.0,22.89,9.95
116017,LA PAMPILLA,1994,5,0.0,23.71,8.26
116017,LA PAMPILLA,1994,6,0.0,23.54,7.5
116017,LA PAMPILLA,1994,7,0.0,23.87,7.15
116017,LA PAMPILLA,1994,8,0.0,24.02,8.22
116017,LA PAMPILLA,1994,9,0.0,24.22,9.41
116017,LA PAMPILLA,1994,10,0.0,23.53,8.57
116017,LA PAMPILLA,1994,11,0.0,23.54,9.73
116017,LA PAMPILLA,1994,12,0.0,23.6,11.16
116017,LA PAMPILLA,1995,1,33.4,22.72,11.23
116017,LA PAMPILLA,1995,2,0.0,22.86,11.07
116017,LA PAMPILLA,1995,3,62.8,21.61,11.02
116017,LA PAMPILLA,1995,4,0.0,23.21,9.66
116017,LA PAMPILLA,1995,5,0.0,23.0,8.54
116017,LA PAMPILLA,1995,6,0.0,23.32,7.5
116017,LA PAMPILLA,1995,7,0.0,23.06,7.27
116017,LA PAMPILLA,1995,8,0.0,23.62,8.27
116017,LA PAMPILLA,1995,9,0.0,23.69,9.74
