CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116022,EL FRAYLE,1990,1,63.4,13.96,-0.16
116022,EL FRAYLE,1990,2,11.4,14.15,-2.26
116022,EL FRAYLE,1990,3,43.2,14.97,-1.23
116022,EL FRAYLE,1990,4,9.6,14.23,-4.14
116022,EL FRAYLE,1990,5,6.5,13.11,-6.75
116022,EL FRAYLE,1990,6,93.0,10.31,-5.49
116022,EL FRAYLE,1990,7,0.0,11.14,-11.18
116022,EL FRAYLE,1990,8,1.0,12.87,-8.98
116022,EL FRAYLE,1990,9,0.0,13.82,-9.7
116022,EL FRAYLE,1990,10,27.1,14.68,-4.66
116022,EL FRAYLE,1990,11,57.0,15.2,-1.34
116022,EL FRAYLE,1990,12,45.6,13.98,0.55
116022,EL FRAYLE,1991,1,73.2,13.45,0.41
116022,EL FRAYLE,1991,2,65.3,14.65,1.16
116022,EL FRAYLE,1991,3,81.8,14.3,1.69
116022,EL FRAYLE,1991,4,6.9,15.12,-1.34
116022,EL FRAYLE,1991,5,0.0,14.85,-5.91
116022,EL FRAYLE,1991,6,20.1,11.39,-8.37
116022,EL FRAYLE,1991,7,0.0,12.63,-9.78
116022,EL FRAYLE,1991,8,0.0,14.0,-8.19
116022,EL FRAYLE,1991,9,0.0,13.85,-6.29
116022,EL FRAYLE,1991,10,3.0,15.12,-6.06
116022,EL FRAYLE,1991,11,9.9,14.14,-3.88
116022,EL FRAYLE,1991,12,29.8,14.29,-3.03
116022,EL FRAYLE,1992,1,49.6,14.22,-0.41
116022,EL FRAYLE,1992,2,9.1,15.04,-2.52
116022,EL FRAYLE,1992,3,1.3,15.37,-4.02
116022,EL FRAYLE,1992,4,0.0,14.68,-6.08
116022,EL FRAYLE,1992,5,0.0,14.36,-9.3
116022,EL FRAYLE,1992,6,0.0,12.09,-9.18
116022,EL FRAYLE,1992,7,0.0,11.76,-11.03
116022,EL FRAYLE,1992,8,0.0,11.17,-9.74
116022,EL FRAYLE,1992,9,0.0,12.67,-10.82
116022,EL FRAYLE,1992,10,2.6,14.41,-6.53
116022,EL FRAYLE,1992,11,11.9,13.97,-6.32
116022,EL FRAYLE,1992,12,36.7,14.45,-999.0
116022,EL FRAYLE,1993,1,116.6,12.68,0.58
116022,EL FRAYLE,1993,2,41.2,13.73,-1.0
116022,EL FRAYLE,1993,3,54.6,13.61,1.07
116022,EL FRAYLE,1993,4,11.0,14.84,-1.31
116022,EL FRAYLE,1993,5,0.0,13.12,-5.91
116022,EL FRAYLE,1993,6,0.0,14.35,-8.87
116022,EL FRAYLE,1993,7,0.0,12.13,-9.97
116022,EL FRAYLE,1993,8,0.6,13.75,-7.48
116022,EL FRAYLE,1993,9,2.4,13.8,-6.9
116022,EL FRAYLE,1993,10,8.7,15.18,-3.78
116022,EL FRAYLE,1993,11,5.5,15.74,-1.68
116022,EL FRAYLE,1993,12,52.1,14.95,0.88
116022,EL FRAYLE,1994,1,173.8,13.01,1.28
