CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116023,OMATE,1990,1,15.2,25.74,11.21
116023,OMATE,1990,2,4.3,25.22,10.14
116023,OMATE,1990,3,34.1,25.86,10.79
116023,OMATE,1990,4,0.0,25.58,9.26
116023,OMATE,1990,5,0.0,24.78,9.1
116023,OMATE,1990,6,8.5,25.35,8.17
116023,OMATE,1990,7,0.0,24.6,5.79
116023,OMATE,1990,8,-999.0,-999.0,-999.0
116023,OMATE,1990,9,-999.0,-999.0,-999.0
116023,OMATE,1990,10,-999.0,-999.0,-999.0
116023,OMATE,1990,11,0.0,-999.0,-999.0
116023,OMATE,1990,12,-999.0,-999.0,-999.0
116023,OMATE,1991,1,-999.0,-999.0,-999.0
116023,OMATE,1991,2,-999.0,-999.0,-999.0
116023,OMATE,1991,3,-999.0,-999.0,-999.0
116023,OMATE,1991,4,-999.0,-999.0,-999.0
116023,OMATE,1991,5,-999.0,-999.0,-999.0
116023,OMATE,1991,6,-999.0,-999.0,-999.0
116023,OMATE,1991,7,0.0,-999.0,-999.0
116023,OMATE,1991,8,-999.0,-999.0,-999.0
116023,OMATE,1991,9,0.0,-999.0,-999.0
116023,OMATE,1991,10,-999.0,-999.0,-999.0
116023,OMATE,1991,11,0.0,-999.0,12.7
116023,OMATE,1991,12,0.0,-999.0,11.46
116023,OMATE,1992,1,0.0,-999.0,11.98
116023,OMATE,1992,2,0.0,-999.0,10.65
116023,OMATE,1992,3,0.0,-999.0,10.72
116023,OMATE,1992,4,8.4,-999.0,9.2
116023,OMATE,1992,5,-999.0,-999.0,-999.0
116023,OMATE,1992,6,8.4,-999.0,6.88
116023,OMATE,1992,7,0.0,22.16,5.69
116023,OMATE,1992,8,0.0,24.18,7.17
116023,OMATE,1992,9,-999.0,-999.0,-999.0
116023,OMATE,1992,10,-999.0,-999.0,-999.0
116023,OMATE,1992,11,-999.0,-999.0,-999.0
116023,OMATE,1992,12,41.8,25.64,12.15
116023,OMATE,1993,1,71.2,24.48,-999.0
116023,OMATE,1993,2,8.2,25.68,-999.0
116023,OMATE,1993,3,16.5,24.49,-999.0
116023,OMATE,1993,4,0.0,25.03,-999.0
116023,OMATE,1993,5,0.0,25.04,-999.0
116023,OMATE,1993,6,0.0,25.23,-999.0
116023,OMATE,1993,7,0.0,24.11,-999.0
116023,OMATE,1993,8,18.2,25.2,-999.0
116023,OMATE,1993,9,0.0,26.04,-999.0
116023,OMATE,1993,10,0.0,26.1,-999.0
116023,OMATE,1993,11,-999.0,26.15,10.58
116023,OMATE,1993,12,3.5,25.54,11.55
116023,OMATE,1994,1,56.6,24.39,12.01
116023,OMATE,1994,2,53.7,23.43,11.77
116023,OMATE,1994,3,4.2,24.73,11.15
116023,OMATE,1994,4,4.8,24.5,10.51
116023,OMATE,1994,5,0.0,25.59,9.63
116023,OMATE,1994,6,0.0,24.97,9.59
116023,OMATE,1994,7,0.0,25.05,8.96
116023,OMATE,1994,8,0.0,25.12,8.63
116023,OMATE,1994,9,0.0,26.51,10.2
116023,OMATE,1994,10,0.0,26.48,9.32
116023,OMATE,1994,11,0.0,-999.0,9.72
116023,OMATE,1994,12,8.2,26.06,11.15
116023,OMATE,1995,1,32.6,25.61,10.58
116023,OMATE,1995,2,-999.0,26.15,10.38
116023,OMATE,1995,3,95.6,23.92,10.58
116023,OMATE,1995,4,0.0,25.39,9.37
116023,OMATE,1995,5,1.2,24.42,8.67
116023,OMATE,1995,6,0.0,24.45,8.08
116023,OMATE,1995,7,0.0,23.97,7.55
116023,OMATE,1995,8,0.0,24.89,8.25
116023,OMATE,1995,9,0.0,26.15,-999.0
116023,OMATE,1995,10,0.0,26.5,-999.0
116023,OMATE,1995,11,0.8,26.43,-999.0
116023,OMATE,1995,12,1.2,26.32,-999.0
116023,OMATE,1996,1,12.1,24.76,-999.0
116023,OMATE,1996,2,24.9,24.28,-999.0
116023,OMATE,1996,3,1.5,24.12,-999.0
116023,OMATE,1996,4,2.8,24.1,-999.0
116023,OMATE,1996,5,0.0,23.86,-999.0
116023,OMATE,1996,6,0.0,23.49,-999.0
116023,OMATE,1996,7,0.0,24.12,-999.0
116023,OMATE,1996,8,0.0,24.55,-999.0
116023,OMATE,1996,9,2.8,25.18,-999.0
116023,OMATE,1996,10,0.0,25.17,-999.0
116023,OMATE,1996,11,1.8,25.3,-999.0
116023,OMATE,1996,12,5.2,24.81,-999.0
116023,OMATE,1997,1,76.2,22.64,-999.0
116023,OMATE,1997,2,45.6,24.59,-999.0
116023,OMATE,1997,3,59.0,24.18,-999.0
116023,OMATE,1997,4,0.0,24.42,-999.0
116023,OMATE,1997,5,0.0,24.96,-999.0
116023,OMATE,1997,6,0.0,24.01,-999.0
116023,OMATE,1997,7,0.0,25.64,-999.0
116023,OMATE,1997,8,8.6,25.75,-999.0
116023,OMATE,1997,9,21.8,25.45,-999.0
116023,OMATE,1997,10,0.0,26.01,-999.0
116023,OMATE,1997,11,1.8,25.87,-999.0
116023,OMATE,1997,12,15.1,26.75,-999.0
116023,OMATE,1998,1,43.4,26.37,-999.0
116023,OMATE,1998,2,33.1,26.29,-999.0
116023,OMATE,1998,3,4.6,26.75,-999.0
116023,OMATE,1998,4,0.0,25.25,-999.0
116023,OMATE,1998,5,0.0,25.36,-999.0
116023,OMATE,1998,6,0.0,24.25,-999.0
116023,OMATE,1998,7,0.0,24.43,-999.0
116023,OMATE,1998,8,0.0,24.38,-999.0
116023,OMATE,1998,9,0.0,24.79,-999.0
116023,OMATE,1998,10,0.0,25.52,-999.0
116023,OMATE,1998,11,0.0,24.74,-999.0
116023,OMATE,1998,12,8.3,24.66,-999.0
116023,OMATE,1999,1,11.1,24.34,-999.0
116023,OMATE,1999,2,133.3,20.86,-999.0
116023,OMATE,1999,3,73.8,21.47,-999.0
116023,OMATE,1999,4,7.1,23.67,-999.0
116023,OMATE,1999,5,0.0,23.48,-999.0
116023,OMATE,1999,6,0.0,23.08,-999.0
116023,OMATE,1999,7,0.0,23.14,-999.0
116023,OMATE,1999,8,0.0,24.32,-999.0
116023,OMATE,1999,9,0.7,23.89,-999.0
116023,OMATE,1999,10,1.4,23.89,-999.0
116023,OMATE,1999,11,0.0,24.07,-999.0
116023,OMATE,1999,12,7.5,23.67,-999.0
116023,OMATE,2000,1,119.1,21.01,-999.0
116023,OMATE,2000,2,65.2,21.15,-999.0
116023,OMATE,2000,3,42.4,22.69,-999.0
116023,OMATE,2000,4,1.3,23.35,-999.0
116023,OMATE,2000,5,0.0,23.14,-999.0
116023,OMATE,2000,6,0.6,23.21,-999.0
116023,OMATE,2000,7,0.0,22.91,-999.0
116023,OMATE,2000,8,0.0,24.51,-999.0
116023,OMATE,2000,9,0.0,24.81,-999.0
116023,OMATE,2000,10,0.0,26.64,-999.0
116023,OMATE,2000,11,0.0,26.25,-999.0
116023,OMATE,2000,12,6.0,26.27,-999.0
116023,OMATE,2001,1,45.1,24.07,-999.0
116023,OMATE,2001,2,195.6,23.3,-999.0
116023,OMATE,2001,3,51.0,22.94,-999.0
116023,OMATE,2001,4,3.0,24.07,-999.0
116023,OMATE,2001,5,0.0,23.89,-999.0
116023,OMATE,2001,6,0.0,24.71,-999.0
116023,OMATE,2001,7,0.0,24.87,-999.0
116023,OMATE,2001,8,0.0,26.21,-999.0
116023,OMATE,2001,9,0.0,24.85,-999.0
116023,OMATE,2001,10,1.7,25.99,-999.0
116023,OMATE,2001,11,0.0,25.56,-999.0
116023,OMATE,2001,12,0.0,26.44,8.39
116023,OMATE,2002,1,24.8,25.7,8.8
116023,OMATE,2002,2,87.6,23.64,11.65
116023,OMATE,2002,3,35.9,24.56,11.02
116023,OMATE,2002,4,0.5,24.01,8.42
116023,OMATE,2002,5,0.0,25.11,6.37
116023,OMATE,2002,6,2.0,24.74,5.41
116023,OMATE,2002,7,12.0,23.83,5.39
116023,OMATE,2002,8,0.0,25.65,5.91
116023,OMATE,2002,9,0.0,25.73,-999.0
116023,OMATE,2002,10,0.0,26.55,-999.0
116023,OMATE,2002,11,7.5,25.95,-999.0
116023,OMATE,2002,12,13.7,26.14,-999.0
116023,OMATE,2003,1,6.0,25.74,8.98
116023,OMATE,2003,2,-999.0,25.37,9.67
116023,OMATE,2003,3,17.8,24.77,8.9
116023,OMATE,2003,4,0.0,25.51,7.27
116023,OMATE,2003,5,0.0,25.79,6.1
116023,OMATE,2003,6,0.0,25.43,5.52
116023,OMATE,2003,7,0.0,24.43,5.25
