CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116026,MAZO CRUZ,1990,1,46.3,15.48,0.28
116026,MAZO CRUZ,1990,2,35.7,16.93,-3.8
116026,MAZO CRUZ,1990,3,44.8,16.46,-3.31
116026,MAZO CRUZ,1990,4,2.5,16.46,-6.71
116026,MAZO CRUZ,1990,5,16.9,15.12,-10.77
116026,MAZO CRUZ,1990,6,27.4,11.94,-8.61
116026,MAZO CRUZ,1990,7,19.6,14.2,-13.41
116026,MAZO CRUZ,1990,8,16.9,13.44,-13.06
116026,MAZO CRUZ,1990,9,2.2,15.42,-14.28
116026,MAZO CRUZ,1990,10,43.7,16.95,-5.14
116026,MAZO CRUZ,1990,11,4.1,15.76,-1.31
116026,MAZO CRUZ,1990,12,32.4,14.37,-1.09
116026,MAZO CRUZ,1991,1,78.7,12.63,-1.26
116026,MAZO CRUZ,1991,2,77.3,13.3,-3.99
116026,MAZO CRUZ,1991,3,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,4,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,5,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,6,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,7,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,8,0.0,12.96,-999.0
116026,MAZO CRUZ,1991,9,0.0,12.43,-10.42
116026,MAZO CRUZ,1991,10,-999.0,-999.0,-999.0
116026,MAZO CRUZ,1991,11,0.0,16.7,-7.76
116026,MAZO CRUZ,1991,12,0.0,-999.0,-6.37
116026,MAZO CRUZ,1992,1,53.9,-999.0,-2.17
116026,MAZO CRUZ,1992,2,45.6,-999.0,-3.6
116026,MAZO CRUZ,1992,3,1.6,17.24,-5.49
116026,MAZO CRUZ,1992,4,4.2,16.72,-7.12
116026,MAZO CRUZ,1992,5,0.0,16.12,-12.14
116026,MAZO CRUZ,1992,6,0.0,13.84,-12.52
116026,MAZO CRUZ,1992,7,0.0,-999.0,-999.0
116026,MAZO CRUZ,1992,8,8.2,11.94,-12.83
116026,MAZO CRUZ,1992,9,0.6,14.22,-13.8
116026,MAZO CRUZ,1992,10,32.3,15.24,-7.56
116026,MAZO CRUZ,1992,11,23.8,-999.0,-5.86
116026,MAZO CRUZ,1992,12,35.5,-999.0,-3.99
116026,MAZO CRUZ,1993,1,147.3,11.99,-0.71
116026,MAZO CRUZ,1993,2,15.6,14.42,-4.61
116026,MAZO CRUZ,1993,3,97.2,11.82,-2.1
116026,MAZO CRUZ,1993,4,19.4,13.96,-5.88
116026,MAZO CRUZ,1993,5,2.1,14.18,-10.04
116026,MAZO CRUZ,1993,6,0.0,13.35,-999.0
116026,MAZO CRUZ,1993,7,0.0,-999.0,-14.77
116026,MAZO CRUZ,1993,8,44.6,11.92,-9.77
116026,MAZO CRUZ,1993,9,13.0,15.59,-10.53
116026,MAZO CRUZ,1993,10,50.7,15.5,-6.5
116026,MAZO CRUZ,1993,11,46.1,15.25,-4.39
116026,MAZO CRUZ,1993,12,94.2,14.97,-1.27
116026,MAZO CRUZ,1994,1,105.0,13.93,-0.73
116026,MAZO CRUZ,1994,2,123.3,12.66,-0.63
116026,MAZO CRUZ,1994,3,63.1,13.35,-3.32
116026,MAZO CRUZ,1994,4,28.1,13.94,-4.48
116026,MAZO CRUZ,1994,5,1.8,14.13,-12.61
116026,MAZO CRUZ,1994,6,0.2,12.52,-16.34
116026,MAZO CRUZ,1994,7,0.3,13.41,-16.25
116026,MAZO CRUZ,1994,8,1.7,15.35,-13.55
116026,MAZO CRUZ,1994,9,4.1,15.33,-10.98
116026,MAZO CRUZ,1994,10,3.4,16.87,-11.3
116026,MAZO CRUZ,1994,11,19.0,16.0,-5.24
116026,MAZO CRUZ,1994,12,84.4,14.2,-2.64
116026,MAZO CRUZ,1995,1,73.6,14.57,-0.87
116026,MAZO CRUZ,1995,2,49.9,15.95,-2.99
116026,MAZO CRUZ,1995,3,90.5,14.07,0.08
116026,MAZO CRUZ,1995,4,11.4,15.95,-7.07
116026,MAZO CRUZ,1995,5,0.3,15.1,-13.32
116026,MAZO CRUZ,1995,6,0.0,-999.0,-15.1
