CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116027,ILAVE,1990,1,151.2,14.21,4.6
116027,ILAVE,1990,2,39.1,14.99,3.36
116027,ILAVE,1990,3,59.9,15.04,3.08
116027,ILAVE,1990,4,48.9,15.01,2.4
116027,ILAVE,1990,5,25.0,14.58,0.28
116027,ILAVE,1990,6,67.7,11.59,-0.95
116027,ILAVE,1990,7,0.0,12.9,-3.1
116027,ILAVE,1990,8,15.5,13.6,-1.06
116027,ILAVE,1990,9,7.4,15.11,0.07
116027,ILAVE,1990,10,65.9,15.76,4.01
116027,ILAVE,1990,11,101.1,15.42,4.63
116027,ILAVE,1990,12,127.8,14.66,4.48
116027,ILAVE,1991,1,74.2,15.12,4.73
116027,ILAVE,1991,2,75.2,15.54,4.69
116027,ILAVE,1991,3,115.1,14.97,4.91
116027,ILAVE,1991,4,50.6,14.84,3.2
116027,ILAVE,1991,5,20.0,14.46,-0.16
116027,ILAVE,1991,6,43.4,12.55,-3.33
116027,ILAVE,1991,7,6.4,13.43,-3.18
116027,ILAVE,1991,8,4.0,14.71,-2.27
116027,ILAVE,1991,9,14.2,14.67,0.03
116027,ILAVE,1991,10,45.5,15.82,1.97
116027,ILAVE,1991,11,17.3,16.14,2.49
116027,ILAVE,1991,12,63.4,16.15,3.43
116027,ILAVE,1992,1,151.9,14.39,4.28
116027,ILAVE,1992,2,88.8,15.2,3.92
116027,ILAVE,1992,3,29.7,15.89,3.07
116027,ILAVE,1992,4,8.2,16.29,0.91
116027,ILAVE,1992,5,0.0,16.21,-0.74
116027,ILAVE,1992,6,1.4,13.8,-0.78
116027,ILAVE,1992,7,1.4,13.27,-2.89
116027,ILAVE,1992,8,55.5,12.14,-2.19
116027,ILAVE,1992,9,2.4,15.03,-0.51
116027,ILAVE,1992,10,38.8,15.84,1.85
116027,ILAVE,1992,11,57.8,15.67,2.33
116027,ILAVE,1992,12,45.1,15.95,4.03
116027,ILAVE,1993,1,191.7,13.91,4.38
116027,ILAVE,1993,2,36.7,14.72,3.47
