CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116029,PIZACOMA,1990,1,38.1,-999.0,-999.0
116029,PIZACOMA,1990,2,39.3,-999.0,-999.0
116029,PIZACOMA,1990,3,27.7,-999.0,-999.0
116029,PIZACOMA,1990,4,7.9,-999.0,-999.0
116029,PIZACOMA,1990,5,0.0,-999.0,-999.0
116029,PIZACOMA,1990,6,32.9,-999.0,-999.0
116029,PIZACOMA,1990,7,0.0,-999.0,-999.0
116029,PIZACOMA,1990,8,0.0,-999.0,-999.0
116029,PIZACOMA,1990,9,4.5,-999.0,-999.0
116029,PIZACOMA,1990,10,43.5,-999.0,-999.0
116029,PIZACOMA,1990,11,67.2,-999.0,-999.0
116029,PIZACOMA,1990,12,118.3,-999.0,-999.0
116029,PIZACOMA,1991,1,99.7,-999.0,-999.0
116029,PIZACOMA,1991,2,86.1,-999.0,-999.0
116029,PIZACOMA,1991,3,204.6,-999.0,-999.0
116029,PIZACOMA,1991,4,54.2,-999.0,-999.0
116029,PIZACOMA,1991,5,0.0,-999.0,-999.0
116029,PIZACOMA,1991,6,38.7,-999.0,-999.0
116029,PIZACOMA,1991,7,0.0,-999.0,-999.0
116029,PIZACOMA,1991,8,0.0,-999.0,-999.0
116029,PIZACOMA,1991,9,0.0,-999.0,-999.0
116029,PIZACOMA,1991,10,4.8,-999.0,-999.0
116029,PIZACOMA,1991,11,37.8,-999.0,-999.0
116029,PIZACOMA,1991,12,59.8,-999.0,-999.0
116029,PIZACOMA,1992,1,169.2,-999.0,-999.0
116029,PIZACOMA,1992,2,68.2,-999.0,-999.0
116029,PIZACOMA,1992,3,17.1,-999.0,-999.0
116029,PIZACOMA,1992,4,8.2,-999.0,-4.32
116029,PIZACOMA,1992,5,0.0,-999.0,-7.14
116029,PIZACOMA,1992,6,0.0,-999.0,-7.75
116029,PIZACOMA,1992,7,0.0,-999.0,-7.24
116029,PIZACOMA,1992,8,20.2,-999.0,-6.3
116029,PIZACOMA,1992,9,0.0,-999.0,-4.23
116029,PIZACOMA,1992,10,67.0,-999.0,-999.0
116029,PIZACOMA,1992,11,32.1,-999.0,-999.0
116029,PIZACOMA,1992,12,25.8,-999.0,-999.0
116029,PIZACOMA,1993,1,127.5,17.37,-999.0
