CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116051,CALACOA,1990,1,28.7,-999.0,-999.0
116051,CALACOA,1990,2,13.2,-999.0,-999.0
116051,CALACOA,1990,3,25.3,-999.0,-999.0
116051,CALACOA,1990,4,0.0,-999.0,-999.0
116051,CALACOA,1990,5,0.0,-999.0,-999.0
116051,CALACOA,1990,6,0.0,-999.0,-999.0
116051,CALACOA,1990,7,0.0,-999.0,-999.0
116051,CALACOA,1990,8,0.0,-999.0,-999.0
116051,CALACOA,1990,9,0.0,-999.0,-999.0
116051,CALACOA,1990,10,0.0,-999.0,-999.0
116051,CALACOA,1990,11,6.1,-999.0,-999.0
116051,CALACOA,1990,12,162.0,-999.0,-999.0
116051,CALACOA,1991,1,81.6,-999.0,-999.0
116051,CALACOA,1991,2,-999.0,-999.0,-999.0
116051,CALACOA,1991,3,-999.0,-999.0,-999.0
116051,CALACOA,1991,4,-999.0,-999.0,-999.0
116051,CALACOA,1991,5,-999.0,-999.0,-999.0
116051,CALACOA,1991,6,-999.0,-999.0,-999.0
116051,CALACOA,1991,7,-999.0,-999.0,-999.0
116051,CALACOA,1991,8,-999.0,-999.0,-999.0
116051,CALACOA,1991,9,-999.0,-999.0,-999.0
116051,CALACOA,1991,10,0.0,-999.0,-999.0
116051,CALACOA,1991,11,1.0,-999.0,-999.0
116051,CALACOA,1991,12,-999.0,-999.0,-999.0
116051,CALACOA,1992,1,4.0,-999.0,-999.0
116051,CALACOA,1992,2,0.0,-999.0,-999.0
116051,CALACOA,1992,3,0.0,-999.0,-999.0
116051,CALACOA,1992,4,0.0,-999.0,-999.0
116051,CALACOA,1992,5,0.0,-999.0,-999.0
116051,CALACOA,1992,6,0.0,-999.0,-999.0
116051,CALACOA,1992,7,0.0,-999.0,-999.0
116051,CALACOA,1992,8,0.0,-999.0,-999.0
116051,CALACOA,1992,9,0.0,-999.0,-999.0
116051,CALACOA,1992,10,2.0,-999.0,-999.0
116051,CALACOA,1992,11,0.0,-999.0,-999.0
116051,CALACOA,1992,12,91.2,-999.0,-999.0
116051,CALACOA,1993,1,149.8,-999.0,-999.0
116051,CALACOA,1993,2,29.5,-999.0,-999.0
116051,CALACOA,1993,3,59.5,-999.0,-999.0
116051,CALACOA,1993,4,0.0,-999.0,-999.0
116051,CALACOA,1993,5,0.0,-999.0,-999.0
116051,CALACOA,1993,6,0.0,-999.0,-999.0
116051,CALACOA,1993,7,0.0,-999.0,-999.0
116051,CALACOA,1993,8,21.0,-999.0,-999.0
116051,CALACOA,1993,9,0.0,-999.0,-999.0
116051,CALACOA,1993,10,0.0,-999.0,-999.0
116051,CALACOA,1993,11,9.2,-999.0,-999.0
116051,CALACOA,1993,12,36.4,-999.0,-999.0
116051,CALACOA,1994,1,184.2,-999.0,-999.0
116051,CALACOA,1994,2,215.9,-999.0,-999.0
