CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116052,PAMPA UMALZO (TITIJONES),1990,1,56.8,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,2,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,3,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,4,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,5,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,6,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,7,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,8,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,9,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,10,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,11,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1990,12,72.8,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,1,58.8,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,2,69.3,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,3,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,4,36.9,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,5,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,6,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,7,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,8,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,9,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,10,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,11,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1991,12,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,1,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,2,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,3,-999.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,4,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,5,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,6,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,7,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,8,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,9,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,10,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,11,0.0,-999.0,-999.0
116052,PAMPA UMALZO (TITIJONES),1992,12,30.8,-999.0,-999.0
