CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116060,DESAGUADERO,1990,1,146.2,13.72,4.75
116060,DESAGUADERO,1990,2,86.0,13.97,2.49
116060,DESAGUADERO,1990,3,87.8,13.83,0.67
116060,DESAGUADERO,1990,4,60.1,14.38,1.55
116060,DESAGUADERO,1990,5,8.6,13.02,-2.01
116060,DESAGUADERO,1990,6,69.1,10.32,-2.41
116060,DESAGUADERO,1990,7,0.0,12.11,-6.46
116060,DESAGUADERO,1990,8,31.8,12.45,-4.15
116060,DESAGUADERO,1990,9,6.8,13.77,-2.79
116060,DESAGUADERO,1990,10,39.5,15.34,2.15
116060,DESAGUADERO,1990,11,125.7,14.88,4.0
116060,DESAGUADERO,1990,12,135.7,14.92,4.19
116060,DESAGUADERO,1991,1,105.9,14.9,3.6
116060,DESAGUADERO,1991,2,72.7,16.15,3.99
116060,DESAGUADERO,1991,3,117.1,14.98,4.5
116060,DESAGUADERO,1991,4,33.7,14.31,1.26
116060,DESAGUADERO,1991,5,8.2,14.09,-4.02
116060,DESAGUADERO,1991,6,38.5,12.29,-6.15
116060,DESAGUADERO,1991,7,2.0,12.45,-6.21
116060,DESAGUADERO,1991,8,0.0,13.05,-5.73
116060,DESAGUADERO,1991,9,0.8,13.37,-3.84
116060,DESAGUADERO,1991,10,21.2,16.04,0.97
116060,DESAGUADERO,1991,11,40.2,15.71,0.41
116060,DESAGUADERO,1991,12,48.1,16.32,1.67
116060,DESAGUADERO,1992,1,179.8,14.5,3.97
116060,DESAGUADERO,1992,2,146.4,15.25,3.13
116060,DESAGUADERO,1992,3,26.2,15.35,1.34
116060,DESAGUADERO,1992,4,62.3,15.0,-1.6
116060,DESAGUADERO,1992,5,1.0,15.3,-5.25
116060,DESAGUADERO,1992,6,3.7,12.91,-5.42
116060,DESAGUADERO,1992,7,4.0,12.28,-7.15
116060,DESAGUADERO,1992,8,24.2,11.3,-5.58
116060,DESAGUADERO,1992,9,0.0,14.43,-3.89
116060,DESAGUADERO,1992,10,25.2,15.43,-1.05
116060,DESAGUADERO,1992,11,31.5,15.4,0.16
116060,DESAGUADERO,1992,12,70.5,16.04,3.33
116060,DESAGUADERO,1993,1,211.2,13.99,4.01
116060,DESAGUADERO,1993,2,80.0,14.94,2.12
116060,DESAGUADERO,1993,3,119.6,14.09,4.06
