CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
116061,JULI,1990,1,192.0,13.64,5.02
116061,JULI,1990,2,50.8,13.99,3.37
116061,JULI,1990,3,51.4,14.39,3.47
116061,JULI,1990,4,47.7,14.29,3.14
116061,JULI,1990,5,13.6,13.92,1.34
116061,JULI,1990,6,48.5,11.3,-0.22
116061,JULI,1990,7,0.0,12.23,-1.99
116061,JULI,1990,8,18.9,12.73,-0.04
116061,JULI,1990,9,19.9,14.02,1.18
116061,JULI,1990,10,69.3,14.74,4.5
116061,JULI,1990,11,64.3,15.01,5.34
116061,JULI,1990,12,173.7,14.13,5.0
116061,JULI,1991,1,147.1,14.0,2.74
116061,JULI,1991,2,101.8,14.72,5.35
116061,JULI,1991,3,152.8,14.26,5.21
116061,JULI,1991,4,70.8,14.23,3.88
116061,JULI,1991,5,10.1,14.23,1.88
116061,JULI,1991,6,31.5,12.47,-2.07
116061,JULI,1991,7,3.8,12.95,-1.83
116061,JULI,1991,8,0.6,13.78,-0.68
116061,JULI,1991,9,11.8,13.82,1.18
116061,JULI,1991,10,49.8,14.87,2.99
116061,JULI,1991,11,30.9,14.98,2.99
116061,JULI,1991,12,74.0,15.04,2.93
116061,JULI,1992,1,159.3,13.59,3.08
116061,JULI,1992,2,130.9,13.91,2.63
116061,JULI,1992,3,40.2,14.5,2.96
116061,JULI,1992,4,32.8,15.46,1.17
116061,JULI,1992,5,0.0,15.43,-0.04
116061,JULI,1992,6,0.7,13.19,-0.0
116061,JULI,1992,7,3.7,12.47,-1.32
116061,JULI,1992,8,40.9,11.53,-0.97
116061,JULI,1992,9,0.0,13.78,0.43
116061,JULI,1992,10,24.0,14.6,2.5
116061,JULI,1992,11,72.6,14.37,2.85
116061,JULI,1992,12,60.7,14.27,4.97
116061,JULI,1993,1,219.6,12.57,4.76
116061,JULI,1993,2,88.2,12.95,3.69
116061,JULI,1993,3,185.2,12.23,3.85
116061,JULI,1993,4,30.8,13.49,3.39
116061,JULI,1993,5,7.6,13.06,1.19
116061,JULI,1993,6,2.9,12.3,-1.93
116061,JULI,1993,7,0.0,12.6,-1.53
116061,JULI,1993,8,35.1,12.27,-0.64
116061,JULI,1993,9,21.1,13.45,1.96
116061,JULI,1993,10,73.0,13.46,3.79
116061,JULI,1993,11,122.0,14.26,4.93
116061,JULI,1993,12,69.8,14.39,5.2
116061,JULI,1994,1,186.5,13.87,4.7
116061,JULI,1994,2,149.1,13.58,5.0
116061,JULI,1994,3,109.5,13.37,3.97
116061,JULI,1994,4,55.4,13.63,4.22
116061,JULI,1994,5,11.7,13.01,1.22
116061,JULI,1994,6,0.0,12.03,-1.08
116061,JULI,1994,7,1.6,12.4,-0.91
116061,JULI,1994,8,0.8,13.14,-0.0
116061,JULI,1994,9,7.1,13.37,2.02
116061,JULI,1994,10,14.3,14.4,3.34
116061,JULI,1994,11,69.2,14.59,4.92
116061,JULI,1994,12,165.3,13.81,4.99
116061,JULI,1995,1,128.9,14.29,5.37
116061,JULI,1995,2,105.9,15.16,4.84
116061,JULI,1995,3,134.5,14.09,5.01
116061,JULI,1995,4,19.9,15.36,2.59
