CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117002,MOQUEGUA,1990,1,0.0,27.16,12.97
117002,MOQUEGUA,1990,2,0.0,26.52,12.98
117002,MOQUEGUA,1990,3,0.0,27.17,13.25
117002,MOQUEGUA,1990,4,0.0,26.45,12.1
117002,MOQUEGUA,1990,5,0.0,25.92,11.57
117002,MOQUEGUA,1990,6,0.0,26.21,11.32
117002,MOQUEGUA,1990,7,0.0,-999.0,9.47
117002,MOQUEGUA,1990,8,0.0,-999.0,11.0
117002,MOQUEGUA,1990,9,0.0,-999.0,10.85
117002,MOQUEGUA,1990,10,0.0,-999.0,11.58
117002,MOQUEGUA,1990,11,0.0,-999.0,13.16
117002,MOQUEGUA,1990,12,0.0,-999.0,13.6
117002,MOQUEGUA,1991,1,-999.0,-999.0,13.51
117002,MOQUEGUA,1991,2,0.0,-999.0,14.04
117002,MOQUEGUA,1991,3,-999.0,-999.0,-999.0
117002,MOQUEGUA,1991,4,0.0,-999.0,12.51
117002,MOQUEGUA,1991,5,0.0,-999.0,10.61
117002,MOQUEGUA,1991,6,0.0,-999.0,9.17
117002,MOQUEGUA,1991,7,0.0,-999.0,8.41
117002,MOQUEGUA,1991,8,0.0,-999.0,9.2
117002,MOQUEGUA,1991,9,0.0,-999.0,10.87
117002,MOQUEGUA,1991,10,0.0,-999.0,10.03
117002,MOQUEGUA,1991,11,0.0,-999.0,10.87
117002,MOQUEGUA,1991,12,0.0,-999.0,11.69
117002,MOQUEGUA,1992,1,0.0,-999.0,-999.0
117002,MOQUEGUA,1992,2,0.0,-999.0,12.82
117002,MOQUEGUA,1992,3,0.0,-999.0,-999.0
117002,MOQUEGUA,1992,4,0.0,-999.0,12.03
117002,MOQUEGUA,1992,5,0.0,-999.0,11.1
117002,MOQUEGUA,1992,6,0.0,-999.0,11.03
117002,MOQUEGUA,1992,7,0.0,-999.0,9.42
117002,MOQUEGUA,1992,8,0.0,-999.0,9.73
117002,MOQUEGUA,1992,9,0.0,-999.0,9.52
117002,MOQUEGUA,1992,10,0.0,-999.0,-999.0
117002,MOQUEGUA,1992,11,0.0,-999.0,11.75
117002,MOQUEGUA,1992,12,0.0,-999.0,11.31
117002,MOQUEGUA,1993,1,0.0,-999.0,11.6
117002,MOQUEGUA,1993,2,0.0,-999.0,-999.0
117002,MOQUEGUA,1993,3,0.0,-999.0,11.67
117002,MOQUEGUA,1993,4,0.0,-999.0,11.61
117002,MOQUEGUA,1993,5,0.0,-999.0,10.5
117002,MOQUEGUA,1993,6,0.0,-999.0,9.97
117002,MOQUEGUA,1993,7,0.0,-999.0,9.65
117002,MOQUEGUA,1993,8,0.0,-999.0,9.81
117002,MOQUEGUA,1993,9,0.0,-999.0,10.04
117002,MOQUEGUA,1993,10,0.0,-999.0,11.56
117002,MOQUEGUA,1993,11,0.0,-999.0,11.54
117002,MOQUEGUA,1993,12,0.0,-999.0,12.97
117002,MOQUEGUA,1994,1,0.0,-999.0,13.19
117002,MOQUEGUA,1994,2,0.0,-999.0,13.74
117002,MOQUEGUA,1994,3,0.0,-999.0,13.32
117002,MOQUEGUA,1994,4,0.0,-999.0,12.46
117002,MOQUEGUA,1994,5,0.0,-999.0,11.39
117002,MOQUEGUA,1994,6,0.0,-999.0,9.85
117002,MOQUEGUA,1994,7,0.0,-999.0,9.92
117002,MOQUEGUA,1994,8,0.0,-999.0,10.29
117002,MOQUEGUA,1994,9,0.0,-999.0,11.7
117002,MOQUEGUA,1994,10,0.0,27.87,-999.0
117002,MOQUEGUA,1994,11,0.0,26.65,11.23
117002,MOQUEGUA,1994,12,0.0,26.94,11.11
117002,MOQUEGUA,1995,1,0.0,27.42,13.59
117002,MOQUEGUA,1995,2,0.0,27.04,12.52
117002,MOQUEGUA,1995,3,30.9,26.09,13.25
117002,MOQUEGUA,1995,4,0.0,26.82,11.5
117002,MOQUEGUA,1995,5,0.0,26.5,10.75
117002,MOQUEGUA,1995,6,0.0,26.33,10.53
117002,MOQUEGUA,1995,7,0.0,25.54,8.9
117002,MOQUEGUA,1995,8,0.0,26.77,9.63
117002,MOQUEGUA,1995,9,0.0,27.5,11.14
117002,MOQUEGUA,1995,10,0.0,27.39,11.88
117002,MOQUEGUA,1995,11,0.0,27.43,11.68
117002,MOQUEGUA,1995,12,0.0,27.69,12.7
117002,MOQUEGUA,1996,1,0.0,26.45,11.06
117002,MOQUEGUA,1996,2,0.0,-999.0,11.34
117002,MOQUEGUA,1996,3,0.0,26.95,12.18
117002,MOQUEGUA,1996,4,0.0,26.85,10.14
117002,MOQUEGUA,1996,5,0.0,26.24,8.28
117002,MOQUEGUA,1996,6,0.0,25.58,7.48
117002,MOQUEGUA,1996,7,0.0,27.09,10.56
117002,MOQUEGUA,1996,8,0.0,27.02,10.44
117002,MOQUEGUA,1996,9,0.0,27.01,10.55
117002,MOQUEGUA,1996,10,0.0,27.76,11.39
117002,MOQUEGUA,1996,11,0.0,28.1,10.95
117002,MOQUEGUA,1996,12,0.0,28.13,10.74
117002,MOQUEGUA,1997,1,7.5,25.6,-999.0
117002,MOQUEGUA,1997,2,1.9,26.34,10.24
