CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117003,CALANA,1990,1,0.0,26.43,-999.0
117003,CALANA,1990,2,-999.0,26.3,-999.0
117003,CALANA,1990,3,0.0,25.78,-999.0
117003,CALANA,1990,4,0.3,23.56,-999.0
117003,CALANA,1990,5,0.0,21.32,-999.0
117003,CALANA,1990,6,0.0,20.61,7.33
117003,CALANA,1990,7,1.9,19.21,6.68
117003,CALANA,1990,8,0.0,20.25,-999.0
117003,CALANA,1990,9,0.0,-999.0,-999.0
117003,CALANA,1990,10,0.0,22.02,-999.0
117003,CALANA,1990,11,0.0,23.59,-999.0
117003,CALANA,1990,12,0.0,25.67,13.84
117003,CALANA,1991,1,0.0,26.8,14.13
117003,CALANA,1991,2,-999.0,-999.0,-999.0
117003,CALANA,1991,3,-999.0,-999.0,-999.0
117003,CALANA,1991,4,0.0,24.7,11.32
117003,CALANA,1991,5,0.0,22.52,9.9
117003,CALANA,1991,6,0.0,21.01,8.58
117003,CALANA,1991,7,0.0,19.63,6.4
117003,CALANA,1991,8,0.0,19.72,6.75
117003,CALANA,1991,9,0.0,21.9,9.24
117003,CALANA,1991,10,-999.0,22.26,9.15
117003,CALANA,1991,11,0.0,23.82,12.5
117003,CALANA,1991,12,10.0,25.69,13.29
117003,CALANA,1992,1,0.0,-999.0,14.66
117003,CALANA,1992,2,0.0,26.97,14.16
117003,CALANA,1992,3,0.0,26.71,14.76
117003,CALANA,1992,4,3.2,24.78,15.37
117003,CALANA,1992,5,20.9,23.31,13.11
117003,CALANA,1992,6,3.4,20.56,9.58
117003,CALANA,1992,7,0.0,19.31,7.35
117003,CALANA,1992,8,0.0,20.46,7.51
117003,CALANA,1992,9,0.0,21.31,8.75
117003,CALANA,1992,10,0.8,22.61,10.62
117003,CALANA,1992,11,0.0,24.38,12.92
117003,CALANA,1992,12,0.0,25.17,14.2
117003,CALANA,1993,1,0.0,26.83,15.92
117003,CALANA,1993,2,0.0,26.8,15.12
117003,CALANA,1993,3,0.0,26.28,-999.0
117003,CALANA,1993,4,0.0,24.97,13.7
117003,CALANA,1993,5,6.0,21.77,12.32
117003,CALANA,1993,6,7.6,20.41,8.55
117003,CALANA,1993,7,4.6,19.34,8.22
117003,CALANA,1993,8,2.3,21.22,9.06
117003,CALANA,1993,9,0.0,21.51,9.29
117003,CALANA,1993,10,0.0,23.12,10.48
117003,CALANA,1993,11,0.0,23.77,11.73
117003,CALANA,1993,12,0.4,25.14,13.45
117003,CALANA,1994,1,3.8,26.24,14.92
117003,CALANA,1994,2,0.0,26.44,15.32
117003,CALANA,1994,3,0.0,25.59,14.37
117003,CALANA,1994,4,1.0,24.27,12.81
117003,CALANA,1994,5,0.2,21.68,10.15
117003,CALANA,1994,6,1.5,19.57,7.77
117003,CALANA,1994,7,0.0,-999.0,6.78
117003,CALANA,1994,8,3.0,-999.0,8.58
117003,CALANA,1994,9,0.0,22.58,9.38
117003,CALANA,1994,10,0.4,22.66,10.86
117003,CALANA,1994,11,1.0,23.89,12.58
117003,CALANA,1994,12,0.2,25.62,14.42
117003,CALANA,1995,1,0.0,26.6,15.38
117003,CALANA,1995,2,0.0,26.11,14.46
117003,CALANA,1995,3,9.6,25.68,14.54
117003,CALANA,1995,4,0.0,24.11,12.59
117003,CALANA,1995,5,0.0,22.14,9.4
117003,CALANA,1995,6,0.0,20.85,7.84
117003,CALANA,1995,7,0.0,19.3,7.32
117003,CALANA,1995,8,2.3,19.59,7.58
117003,CALANA,1995,9,1.7,21.42,9.86
117003,CALANA,1995,10,0.4,22.79,10.0
117003,CALANA,1995,11,0.0,23.63,11.43
117003,CALANA,1995,12,0.0,24.32,12.32
117003,CALANA,1996,1,0.0,25.63,13.92
117003,CALANA,1996,2,1.4,26.27,14.62
117003,CALANA,1996,3,0.0,25.56,13.61
117003,CALANA,1996,4,0.0,22.93,11.6
117003,CALANA,1996,5,0.0,21.46,9.6
117003,CALANA,1996,6,1.4,19.14,7.18
117003,CALANA,1996,7,0.1,19.68,6.85
117003,CALANA,1996,8,4.5,18.92,7.47
117003,CALANA,1996,9,0.0,20.77,7.92
117003,CALANA,1996,10,0.0,22.52,9.81
