CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117006,LA HACIENDITA,1990,1,0.0,26.99,12.75
117006,LA HACIENDITA,1990,2,0.0,28.45,13.16
117006,LA HACIENDITA,1990,3,0.0,27.65,13.11
117006,LA HACIENDITA,1990,4,0.0,26.36,11.78
117006,LA HACIENDITA,1990,5,0.0,24.4,11.71
117006,LA HACIENDITA,1990,6,0.0,22.15,10.53
117006,LA HACIENDITA,1990,7,0.0,21.46,10.69
117006,LA HACIENDITA,1990,8,0.0,21.32,10.94
117006,LA HACIENDITA,1990,9,0.0,22.22,11.57
117006,LA HACIENDITA,1990,10,-999.0,-999.0,-999.0
117006,LA HACIENDITA,1990,11,-999.0,-999.0,-999.0
117006,LA HACIENDITA,1990,12,0.0,26.42,13.87
117006,LA HACIENDITA,1991,1,0.0,27.65,14.4
117006,LA HACIENDITA,1991,2,0.0,28.56,15.82
117006,LA HACIENDITA,1991,3,-999.0,28.22,16.19
117006,LA HACIENDITA,1991,4,0.0,26.55,14.24
117006,LA HACIENDITA,1991,5,0.0,24.66,11.88
117006,LA HACIENDITA,1991,6,-999.0,-999.0,-999.0
117006,LA HACIENDITA,1991,7,0.0,23.0,11.01
117006,LA HACIENDITA,1991,8,0.0,22.33,11.62
117006,LA HACIENDITA,1991,9,0.0,23.05,11.9
117006,LA HACIENDITA,1991,10,0.0,24.02,11.45
117006,LA HACIENDITA,1991,11,0.0,24.63,11.87
117006,LA HACIENDITA,1991,12,0.0,26.44,12.96
117006,LA HACIENDITA,1992,1,0.0,27.88,16.79
117006,LA HACIENDITA,1992,2,0.0,28.26,17.38
117006,LA HACIENDITA,1992,3,0.0,27.73,17.22
117006,LA HACIENDITA,1992,4,0.0,27.07,16.78
117006,LA HACIENDITA,1992,5,-999.0,25.94,14.78
117006,LA HACIENDITA,1992,6,0.0,24.17,11.91
117006,LA HACIENDITA,1992,7,0.0,22.95,11.09
117006,LA HACIENDITA,1992,8,0.0,22.69,10.79
117006,LA HACIENDITA,1992,9,0.0,23.16,11.59
117006,LA HACIENDITA,1992,10,0.0,24.55,12.19
117006,LA HACIENDITA,1992,11,0.0,25.04,12.44
117006,LA HACIENDITA,1992,12,0.0,26.09,14.62
117006,LA HACIENDITA,1993,1,0.0,27.15,16.58
117006,LA HACIENDITA,1993,2,0.0,26.04,15.88
117006,LA HACIENDITA,1993,3,0.0,24.8,15.06
117006,LA HACIENDITA,1993,4,0.0,23.9,12.93
117006,LA HACIENDITA,1993,5,0.0,21.14,12.33
117006,LA HACIENDITA,1993,6,0.0,20.1,10.25
117006,LA HACIENDITA,1993,7,0.0,20.45,10.35
117006,LA HACIENDITA,1993,8,0.0,21.73,10.98
117006,LA HACIENDITA,1993,9,0.0,23.51,11.98
117006,LA HACIENDITA,1993,10,0.0,24.74,12.04
117006,LA HACIENDITA,1993,11,0.0,25.92,-999.0
117006,LA HACIENDITA,1993,12,0.0,26.72,-999.0
117006,LA HACIENDITA,1994,1,0.0,27.65,16.55
117006,LA HACIENDITA,1994,2,0.0,28.96,17.65
117006,LA HACIENDITA,1994,3,0.0,28.81,-999.0
117006,LA HACIENDITA,1994,4,0.0,26.45,11.74
117006,LA HACIENDITA,1994,5,0.0,25.41,11.45
117006,LA HACIENDITA,1994,6,0.0,21.95,10.75
117006,LA HACIENDITA,1994,7,0.0,20.63,10.69
117006,LA HACIENDITA,1994,8,0.0,21.63,10.15
117006,LA HACIENDITA,1994,9,0.0,23.72,11.99
117006,LA HACIENDITA,1994,10,0.0,25.26,13.72
117006,LA HACIENDITA,1994,11,0.0,25.6,14.04
117006,LA HACIENDITA,1994,12,0.0,26.42,15.74
117006,LA HACIENDITA,1995,1,0.0,29.44,16.26
117006,LA HACIENDITA,1995,2,0.0,28.93,14.26
117006,LA HACIENDITA,1995,3,0.0,28.09,19.24
117006,LA HACIENDITA,1995,4,0.0,26.13,16.72
117006,LA HACIENDITA,1995,5,0.0,-999.0,-999.0
117006,LA HACIENDITA,1995,6,0.0,22.29,-999.0
117006,LA HACIENDITA,1995,7,0.0,20.78,10.94
117006,LA HACIENDITA,1995,8,0.0,20.89,11.74
117006,LA HACIENDITA,1995,9,0.0,21.5,12.47
117006,LA HACIENDITA,1995,10,-999.0,-999.0,-999.0
117006,LA HACIENDITA,1995,11,0.0,-999.0,-999.0
117006,LA HACIENDITA,1995,12,0.0,26.74,13.64
117006,LA HACIENDITA,1996,1,0.0,28.25,16.93
117006,LA HACIENDITA,1996,2,0.0,28.79,-999.0
117006,LA HACIENDITA,1996,3,0.0,28.24,16.12
117006,LA HACIENDITA,1996,4,0.0,26.27,-999.0
117006,LA HACIENDITA,1996,5,0.0,24.28,13.45
117006,LA HACIENDITA,1996,6,0.0,21.48,11.63
117006,LA HACIENDITA,1996,7,0.0,21.3,10.1
117006,LA HACIENDITA,1996,8,0.0,21.62,11.9
117006,LA HACIENDITA,1996,9,0.0,22.65,12.48
117006,LA HACIENDITA,1996,10,0.0,24.03,14.19
117006,LA HACIENDITA,1996,11,0.0,25.18,-999.0
117006,LA HACIENDITA,1996,12,0.0,28.18,-999.0
117006,LA HACIENDITA,1997,1,0.0,29.03,-999.0
117006,LA HACIENDITA,1997,2,0.0,28.66,-999.0
117006,LA HACIENDITA,1997,3,0.0,28.79,-999.0
117006,LA HACIENDITA,1997,4,0.0,27.5,-999.0
117006,LA HACIENDITA,1997,5,0.0,26.25,-999.0
117006,LA HACIENDITA,1997,6,0.0,24.89,-999.0
117006,LA HACIENDITA,1997,7,0.0,23.6,13.91
117006,LA HACIENDITA,1997,8,0.0,24.1,-999.0
117006,LA HACIENDITA,1997,9,0.0,23.74,-999.0
117006,LA HACIENDITA,1997,10,0.0,24.88,16.73
117006,LA HACIENDITA,1997,11,0.0,26.64,17.57
117006,LA HACIENDITA,1997,12,0.0,27.57,-999.0
117006,LA HACIENDITA,1998,1,0.0,29.87,21.11
117006,LA HACIENDITA,1998,2,0.0,-999.0,21.98
117006,LA HACIENDITA,1998,3,0.0,29.27,20.61
117006,LA HACIENDITA,1998,4,0.0,27.12,-999.0
117006,LA HACIENDITA,1998,5,0.0,25.16,-999.0
