CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117008,PUNTA COLES,1990,1,-999.0,25.68,19.56
117008,PUNTA COLES,1990,2,-999.0,25.03,19.11
117008,PUNTA COLES,1990,3,0.0,24.57,18.63
117008,PUNTA COLES,1990,4,-999.0,23.3,18.1
117008,PUNTA COLES,1990,5,-999.0,20.58,15.56
117008,PUNTA COLES,1990,6,-999.0,19.01,15.01
117008,PUNTA COLES,1990,7,0.0,17.93,14.54
117008,PUNTA COLES,1990,8,0.0,17.35,14.19
117008,PUNTA COLES,1990,9,-999.0,19.03,15.3
117008,PUNTA COLES,1990,10,-999.0,20.07,15.78
117008,PUNTA COLES,1990,11,-999.0,21.75,16.79
117008,PUNTA COLES,1990,12,-999.0,23.93,18.31
117008,PUNTA COLES,1991,1,-999.0,25.45,19.59
117008,PUNTA COLES,1991,2,0.0,25.18,19.33
117008,PUNTA COLES,1991,3,-999.0,-999.0,-999.0
117008,PUNTA COLES,1991,4,-999.0,-999.0,-999.0
117008,PUNTA COLES,1991,5,-999.0,-999.0,-999.0
117008,PUNTA COLES,1991,6,0.0,20.55,16.65
117008,PUNTA COLES,1991,7,0.0,19.12,14.86
117008,PUNTA COLES,1991,8,0.0,-999.0,14.12
117008,PUNTA COLES,1991,9,0.0,-999.0,-999.0
117008,PUNTA COLES,1991,10,0.0,-999.0,16.21
117008,PUNTA COLES,1991,11,0.0,22.6,17.75
117008,PUNTA COLES,1991,12,0.0,24.09,18.64
117008,PUNTA COLES,1992,1,0.0,25.72,20.1
117008,PUNTA COLES,1992,2,0.0,25.89,19.83
117008,PUNTA COLES,1992,3,0.0,26.84,21.74
117008,PUNTA COLES,1992,4,0.0,25.64,20.95
117008,PUNTA COLES,1992,5,0.0,23.99,19.47
117008,PUNTA COLES,1992,6,0.0,20.97,16.93
117008,PUNTA COLES,1992,7,0.0,-999.0,-999.0
117008,PUNTA COLES,1992,8,0.0,18.61,-999.0
117008,PUNTA COLES,1992,9,0.0,19.46,15.48
117008,PUNTA COLES,1992,10,0.0,21.38,16.94
117008,PUNTA COLES,1992,11,0.0,-999.0,-999.0
117008,PUNTA COLES,1992,12,0.0,-999.0,18.53
117008,PUNTA COLES,1993,1,0.0,25.57,19.43
117008,PUNTA COLES,1993,2,0.0,-999.0,19.07
117008,PUNTA COLES,1993,3,0.0,24.76,-999.0
117008,PUNTA COLES,1993,4,0.0,24.21,18.87
117008,PUNTA COLES,1993,5,0.0,-999.0,17.65
