CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117013,CHUAPALCA,1990,1,8.7,-999.0,-999.0
117013,CHUAPALCA,1990,2,25.9,-999.0,-999.0
117013,CHUAPALCA,1990,3,3.1,-999.0,-999.0
117013,CHUAPALCA,1990,4,2.2,-999.0,-999.0
117013,CHUAPALCA,1990,5,1.0,-999.0,-999.0
117013,CHUAPALCA,1990,6,4.4,-999.0,-999.0
117013,CHUAPALCA,1990,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1990,8,0.5,-999.0,-999.0
117013,CHUAPALCA,1990,9,0.0,-999.0,-999.0
117013,CHUAPALCA,1990,10,0.0,-999.0,-999.0
117013,CHUAPALCA,1990,11,-999.0,-999.0,-999.0
117013,CHUAPALCA,1990,12,97.1,-999.0,-999.0
117013,CHUAPALCA,1991,1,59.4,-999.0,-999.0
117013,CHUAPALCA,1991,2,-999.0,-999.0,-999.0
117013,CHUAPALCA,1991,3,42.3,-999.0,-999.0
117013,CHUAPALCA,1991,4,0.6,-999.0,-999.0
117013,CHUAPALCA,1991,5,0.0,-999.0,-999.0
117013,CHUAPALCA,1991,6,12.4,-999.0,-999.0
117013,CHUAPALCA,1991,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1991,8,0.0,-999.0,-999.0
117013,CHUAPALCA,1991,9,0.0,-999.0,-999.0
117013,CHUAPALCA,1991,10,0.2,-999.0,-999.0
117013,CHUAPALCA,1991,11,0.7,-999.0,-999.0
117013,CHUAPALCA,1991,12,25.7,-999.0,-999.0
117013,CHUAPALCA,1992,1,70.8,-999.0,-999.0
117013,CHUAPALCA,1992,2,12.2,-999.0,-999.0
117013,CHUAPALCA,1992,3,4.8,-999.0,-999.0
117013,CHUAPALCA,1992,4,1.0,-999.0,-999.0
117013,CHUAPALCA,1992,5,0.0,-999.0,-999.0
117013,CHUAPALCA,1992,6,0.4,-999.0,-999.0
117013,CHUAPALCA,1992,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1992,8,0.2,-999.0,-999.0
117013,CHUAPALCA,1992,9,0.0,-999.0,-999.0
117013,CHUAPALCA,1992,10,2.5,-999.0,-999.0
117013,CHUAPALCA,1992,11,35.5,-999.0,-999.0
117013,CHUAPALCA,1992,12,85.2,-999.0,-999.0
117013,CHUAPALCA,1993,1,169.6,-999.0,-999.0
117013,CHUAPALCA,1993,2,1.8,-999.0,-999.0
117013,CHUAPALCA,1993,3,75.6,-999.0,-999.0
117013,CHUAPALCA,1993,4,8.2,-999.0,-999.0
117013,CHUAPALCA,1993,5,0.0,-999.0,-999.0
117013,CHUAPALCA,1993,6,0.3,-999.0,-999.0
117013,CHUAPALCA,1993,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1993,8,48.5,-999.0,-999.0
117013,CHUAPALCA,1993,9,0.0,-999.0,-999.0
117013,CHUAPALCA,1993,10,13.3,-999.0,-999.0
117013,CHUAPALCA,1993,11,10.0,-999.0,-999.0
117013,CHUAPALCA,1993,12,76.5,-999.0,-999.0
117013,CHUAPALCA,1994,1,59.3,-999.0,-999.0
117013,CHUAPALCA,1994,2,132.1,-999.0,-999.0
117013,CHUAPALCA,1994,3,46.8,-999.0,-999.0
117013,CHUAPALCA,1994,4,4.9,-999.0,-999.0
117013,CHUAPALCA,1994,5,3.9,-999.0,-999.0
117013,CHUAPALCA,1994,6,0.0,-999.0,-999.0
117013,CHUAPALCA,1994,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1994,8,0.0,-999.0,-999.0
117013,CHUAPALCA,1994,9,0.2,-999.0,-999.0
117013,CHUAPALCA,1994,10,0.0,-999.0,-999.0
117013,CHUAPALCA,1994,11,20.9,-999.0,-999.0
117013,CHUAPALCA,1994,12,-999.0,-999.0,-999.0
117013,CHUAPALCA,1995,1,72.2,-999.0,-999.0
117013,CHUAPALCA,1995,2,20.0,-999.0,-999.0
117013,CHUAPALCA,1995,3,95.8,-999.0,-999.0
117013,CHUAPALCA,1995,4,7.1,-999.0,-999.0
117013,CHUAPALCA,1995,5,0.0,-999.0,-999.0
117013,CHUAPALCA,1995,6,0.0,-999.0,-999.0
117013,CHUAPALCA,1995,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1995,8,0.0,-999.0,-999.0
117013,CHUAPALCA,1995,9,0.4,-999.0,-999.0
117013,CHUAPALCA,1995,10,0.0,-999.0,-999.0
117013,CHUAPALCA,1995,11,22.7,-999.0,-999.0
117013,CHUAPALCA,1995,12,40.5,-999.0,-999.0
117013,CHUAPALCA,1996,1,132.9,-999.0,-999.0
117013,CHUAPALCA,1996,2,97.6,-999.0,-999.0
117013,CHUAPALCA,1996,3,40.8,-999.0,-999.0
117013,CHUAPALCA,1996,4,15.5,-999.0,-999.0
117013,CHUAPALCA,1996,5,6.7,-999.0,-999.0
117013,CHUAPALCA,1996,6,0.0,-999.0,-999.0
117013,CHUAPALCA,1996,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1996,8,1.9,-999.0,-999.0
117013,CHUAPALCA,1996,9,0.0,-999.0,-999.0
117013,CHUAPALCA,1996,10,0.0,-999.0,-999.0
117013,CHUAPALCA,1996,11,15.1,-999.0,-999.0
117013,CHUAPALCA,1996,12,62.0,-999.0,-999.0
117013,CHUAPALCA,1997,1,150.6,-999.0,-999.0
117013,CHUAPALCA,1997,2,161.6,-999.0,-999.0
117013,CHUAPALCA,1997,3,37.9,-999.0,-999.0
117013,CHUAPALCA,1997,4,2.0,-999.0,-999.0
117013,CHUAPALCA,1997,5,10.8,-999.0,-999.0
117013,CHUAPALCA,1997,6,0.0,-999.0,-999.0
117013,CHUAPALCA,1997,7,0.0,-999.0,-999.0
117013,CHUAPALCA,1997,8,18.2,12.04,-9.26
117013,CHUAPALCA,1997,9,29.0,14.92,-4.84
117013,CHUAPALCA,1997,10,0.1,17.82,-9.27
117013,CHUAPALCA,1997,11,20.5,18.08,-6.7
117013,CHUAPALCA,1997,12,38.3,19.31,-5.18
117013,CHUAPALCA,1998,1,177.9,16.86,0.06
117013,CHUAPALCA,1998,2,70.7,18.18,-2.7
117013,CHUAPALCA,1998,3,21.2,19.46,-5.08
117013,CHUAPALCA,1998,4,6.6,17.82,-9.91
117013,CHUAPALCA,1998,5,0.0,15.62,-14.37
117013,CHUAPALCA,1998,6,7.7,13.78,-13.45
117013,CHUAPALCA,1998,7,0.0,14.67,-15.44
117013,CHUAPALCA,1998,8,0.4,15.23,-14.34
