CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117020,TARATA,1990,1,-999.0,18.71,-999.0
117020,TARATA,1990,2,-999.0,-999.0,-999.0
117020,TARATA,1990,3,-999.0,-999.0,-999.0
117020,TARATA,1990,4,-999.0,18.91,-999.0
117020,TARATA,1990,5,-999.0,18.23,-999.0
117020,TARATA,1990,6,-999.0,17.48,-999.0
117020,TARATA,1990,7,-999.0,17.29,-999.0
117020,TARATA,1990,8,-999.0,19.34,-999.0
117020,TARATA,1990,9,-999.0,19.53,-999.0
117020,TARATA,1990,10,-999.0,19.83,-999.0
117020,TARATA,1990,11,-999.0,20.69,-999.0
117020,TARATA,1990,12,-999.0,19.31,-999.0
117020,TARATA,1991,1,-999.0,18.49,-999.0
117020,TARATA,1991,2,-999.0,20.42,-999.0
117020,TARATA,1991,3,-999.0,19.06,-999.0
117020,TARATA,1991,4,-999.0,20.37,-999.0
117020,TARATA,1991,5,-999.0,20.76,-999.0
117020,TARATA,1991,6,-999.0,18.95,-999.0
117020,TARATA,1991,7,-999.0,18.89,-999.0
117020,TARATA,1991,8,-999.0,19.82,-999.0
117020,TARATA,1991,9,-999.0,19.34,-999.0
117020,TARATA,1991,10,-999.0,20.07,-999.0
117020,TARATA,1991,11,-999.0,19.78,-999.0
117020,TARATA,1991,12,-999.0,20.22,-999.0
117020,TARATA,1992,1,-999.0,19.7,-999.0
117020,TARATA,1992,2,-999.0,19.76,-999.0
117020,TARATA,1992,3,-999.0,20.79,-999.0
117020,TARATA,1992,4,-999.0,20.83,-999.0
117020,TARATA,1992,5,-999.0,20.11,-999.0
117020,TARATA,1992,6,-999.0,19.5,-999.0
117020,TARATA,1992,7,-999.0,18.84,-999.0
117020,TARATA,1992,8,-999.0,17.95,-999.0
117020,TARATA,1992,9,-999.0,18.6,-999.0
117020,TARATA,1992,10,-999.0,20.0,-999.0
117020,TARATA,1992,11,-999.0,19.5,-999.0
117020,TARATA,1992,12,-999.0,19.66,-999.0
117020,TARATA,1993,1,144.4,16.87,-999.0
117020,TARATA,1993,2,38.8,18.24,-999.0
117020,TARATA,1993,3,73.9,18.41,-999.0
117020,TARATA,1993,4,0.0,20.24,-999.0
117020,TARATA,1993,5,0.0,19.23,-999.0
117020,TARATA,1993,6,0.0,19.76,-999.0
117020,TARATA,1993,7,0.0,18.28,-999.0
117020,TARATA,1993,8,21.8,18.66,-999.0
117020,TARATA,1993,9,0.0,19.59,-999.0
117020,TARATA,1993,10,0.0,20.86,-999.0
117020,TARATA,1993,11,0.0,20.83,-999.0
117020,TARATA,1993,12,30.1,20.19,-999.0
117020,TARATA,1994,1,93.4,18.72,-999.0
117020,TARATA,1994,2,115.4,18.05,-999.0
117020,TARATA,1994,3,18.3,19.54,-999.0
117020,TARATA,1994,4,0.6,19.82,-999.0
117020,TARATA,1994,5,0.0,19.74,-999.0
117020,TARATA,1994,6,0.0,19.48,-999.0
117020,TARATA,1994,7,0.0,18.86,-999.0
117020,TARATA,1994,8,-999.0,-999.0,-999.0
117020,TARATA,1994,9,0.0,20.88,-999.0
117020,TARATA,1994,10,0.0,20.56,-999.0
117020,TARATA,1994,11,0.0,20.1,-999.0
117020,TARATA,1994,12,21.2,20.34,-999.0
117020,TARATA,1995,1,44.2,20.96,-999.0
117020,TARATA,1995,2,0.0,20.19,-999.0
117020,TARATA,1995,3,75.8,18.94,-999.0
117020,TARATA,1995,4,3.3,20.18,-999.0
117020,TARATA,1995,5,0.0,20.06,-999.0
117020,TARATA,1995,6,0.0,19.06,-999.0
117020,TARATA,1995,7,0.0,18.97,-999.0
117020,TARATA,1995,8,0.0,20.35,-999.0
117020,TARATA,1995,9,0.0,20.66,-999.0
117020,TARATA,1995,10,0.0,20.57,-999.0
117020,TARATA,1995,11,0.0,20.14,-999.0
117020,TARATA,1995,12,6.7,20.01,-999.0
117020,TARATA,1996,1,15.2,18.34,-999.0
117020,TARATA,1996,2,25.9,19.34,-999.0
117020,TARATA,1996,3,2.0,19.81,-999.0
117020,TARATA,1996,4,0.0,20.07,-999.0
117020,TARATA,1996,5,0.0,19.73,-999.0
117020,TARATA,1996,6,0.0,17.98,-999.0
117020,TARATA,1996,7,0.0,18.21,-999.0
117020,TARATA,1996,8,0.0,19.15,-999.0
117020,TARATA,1996,9,0.0,20.06,-999.0
117020,TARATA,1996,10,0.0,20.42,-999.0
