CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
117030,CAIRANI,1990,1,9.0,-999.0,-999.0
117030,CAIRANI,1990,2,6.3,-999.0,-999.0
117030,CAIRANI,1990,3,18.6,-999.0,-999.0
117030,CAIRANI,1990,4,0.0,-999.0,-999.0
117030,CAIRANI,1990,5,0.0,-999.0,-999.0
117030,CAIRANI,1990,6,8.5,-999.0,-999.0
117030,CAIRANI,1990,7,0.0,-999.0,-999.0
117030,CAIRANI,1990,8,0.0,-999.0,-999.0
117030,CAIRANI,1990,9,0.0,-999.0,-999.0
117030,CAIRANI,1990,10,0.0,-999.0,-999.0
117030,CAIRANI,1990,11,0.0,-999.0,-999.0
117030,CAIRANI,1990,12,91.0,-999.0,-999.0
117030,CAIRANI,1991,1,41.9,-999.0,-999.0
117030,CAIRANI,1991,2,1.9,-999.0,-999.0
117030,CAIRANI,1991,3,23.2,-999.0,-999.0
117030,CAIRANI,1991,4,0.0,-999.0,-999.0
117030,CAIRANI,1991,5,0.2,-999.0,-999.0
117030,CAIRANI,1991,6,0.0,-999.0,-999.0
117030,CAIRANI,1991,7,0.0,-999.0,-999.0
117030,CAIRANI,1991,8,0.0,-999.0,-999.0
117030,CAIRANI,1991,9,0.0,-999.0,-999.0
117030,CAIRANI,1991,10,0.0,-999.0,-999.0
117030,CAIRANI,1991,11,0.0,-999.0,-999.0
117030,CAIRANI,1991,12,0.0,-999.0,-999.0
117030,CAIRANI,1992,1,1.8,-999.0,-999.0
117030,CAIRANI,1992,2,0.0,-999.0,-999.0
117030,CAIRANI,1992,3,0.0,-999.0,-999.0
117030,CAIRANI,1992,4,0.0,-999.0,-999.0
117030,CAIRANI,1992,5,0.0,-999.0,-999.0
117030,CAIRANI,1992,6,0.0,-999.0,-999.0
117030,CAIRANI,1992,7,0.0,-999.0,-999.0
117030,CAIRANI,1992,8,0.0,-999.0,-999.0
117030,CAIRANI,1992,9,0.0,-999.0,-999.0
117030,CAIRANI,1992,10,0.0,-999.0,-999.0
117030,CAIRANI,1992,11,0.0,-999.0,-999.0
117030,CAIRANI,1992,12,38.9,-999.0,-999.0
117030,CAIRANI,1993,1,74.3,-999.0,-999.0
117030,CAIRANI,1993,2,13.8,-999.0,-999.0
117030,CAIRANI,1993,3,-999.0,-999.0,-999.0
117030,CAIRANI,1993,4,0.0,-999.0,-999.0
117030,CAIRANI,1993,5,0.0,-999.0,-999.0
117030,CAIRANI,1993,6,0.0,-999.0,-999.0
117030,CAIRANI,1993,7,0.0,-999.0,-999.0
117030,CAIRANI,1993,8,1.9,-999.0,-999.0
117030,CAIRANI,1993,9,0.0,-999.0,-999.0
117030,CAIRANI,1993,10,0.0,-999.0,-999.0
117030,CAIRANI,1993,11,0.0,-999.0,-999.0
117030,CAIRANI,1993,12,5.3,-999.0,-999.0
117030,CAIRANI,1994,1,47.9,-999.0,-999.0
117030,CAIRANI,1994,2,-999.0,-999.0,-999.0
117030,CAIRANI,1994,3,0.0,-999.0,-999.0
117030,CAIRANI,1994,4,12.3,-999.0,-999.0
117030,CAIRANI,1994,5,0.0,-999.0,-999.0
117030,CAIRANI,1994,6,0.0,-999.0,-999.0
117030,CAIRANI,1994,7,0.0,-999.0,-999.0
117030,CAIRANI,1994,8,0.0,-999.0,-999.0
117030,CAIRANI,1994,9,0.0,-999.0,-999.0
117030,CAIRANI,1994,10,0.0,-999.0,-999.0
117030,CAIRANI,1994,11,0.0,-999.0,-999.0
117030,CAIRANI,1994,12,-999.0,-999.0,-999.0
117030,CAIRANI,1995,1,-999.0,-999.0,-999.0
117030,CAIRANI,1995,2,0.0,-999.0,-999.0
117030,CAIRANI,1995,3,76.0,-999.0,-999.0
117030,CAIRANI,1995,4,0.0,-999.0,-999.0
